# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                             long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| BCHUSDT       | 0.0005784     | 0.0008101   | 0.04918      | 89.42         | 0.01132      | 0.01492     | 0.08391        | 0.82                   | 0.005556     | 1309.0  | -480179.300578 |
| GMXUSDT       | 0.0005736     | 0.0007554   | 0.06978      | 92.83         | 0.01366      | 0.01182     | 0.007548       | 0.9747                 | 0.003158     | 166.42  | -480179.300574 |
| QNTUSDT       | 0.0005595     | 0.001032    | 0.04079      | 87.38         | 0.006112     | 0.007954    | 0.001788       | 0.9422                 | 0.003654     | 286.92  | -480179.300559 |
| XMRUSDT       | 0.0005488     | 0.001292    | 0.06645      | 95.05         | 0.009333     | 0.01013     | 0.0538         | 0.8583                 | 0.006087     | 1275.67 | -480179.300549 |
| HOOKUSDT      | 0.0005468     | 0.00101     | 0.05902      | 85.63         | 0.01923      | 0.0181      | 0.0            | 0.9403                 | 0.005784     | 191.88  | -480179.300547 |
| CTSIUSDT      | 0.0005347     | 0.0006999   | 0.04032      | 81.87         | 0.0132       | 0.01748     | 0.09362        | 0.81                   | 0.009676     | 645.88  | -480179.300535 |
| MTLUSDT       | 0.0005338     | 0.0007345   | 0.02688      | 86.73         | 0.01463      | 0.01586     | 0.0455         | 0.8323                 | 0.00767      | 853.71  | -480179.300534 |
| IDEXUSDT      | 0.0005291     | 0.0008353   | 0.06618      | 53.92         | 0.01493      | 0.01486     | 0.01258        | 0.9324                 | 0.007785     | 91.5    | -480179.300529 |
| REEFUSDT      | 0.0005164     | 0.001307    | 0.04102      | 81.93         | 0.01229      | 0.01595     | 0.04325        | 0.8308                 | 0.008655     | 891.71  | -480179.300516 |
| OCEANUSDT     | 0.0005163     | 0.0008612   | 0.02399      | 70.57         | 0.0141       | 0.01342     | 0.0            | 0.8785                 | 0.003727     | 1002.71 | -480179.300516 |
| GALAUSDT      | 0.0005158     | 0.001013    | 0.0472       | 53.32         | 0.008566     | 0.01021     | 0.07034        | 0.9142                 | 0.007132     | 683.88  | -480179.300516 |
| DUSKUSDT      | 0.0005019     | 0.0007368   | 0.04539      | 90.82         | 0.01637      | 0.01602     | 0.0239         | 0.8874                 | 0.006235     | 572.88  | -480179.300502 |
| GALUSDT       | 0.0004946     | 0.001138    | 0.0388       | 72.13         | 0.01396      | 0.01309     | 0.008606       | 0.958                  | 0.003514     | 454.42  | -480179.300495 |
| LUNA2USDT     | 0.0004917     | 0.0006857   | 0.01726      | 68.32         | 0.009935     | 0.009786    | 0.0            | 0.9439                 | 0.003271     | 326.88  | -480179.300492 |
