+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| ADAUSDT      | 0.0007417     | 0.00174     | 0.01763      | 59.1          | 0.007644     | 0.008437    | 0.04447        | 0.882                  | 0.004101     | 1227.62 | -240179.250742 |
| HOOKUSDT     | 0.001441      | 0.001732    | 0.04479      | 73.5          | 0.01465      | 0.0116      | 0.002728       | 0.9558                 | 0.003478     | 139.83  | -240179.251441 |
| BLURUSDT     | 0.003477      | 0.00173     | 0.06854      | 37.33         | 0.009776     | 0.006944    | 0.0            | 0.982                  | 0.002511     | 44.46   | -240179.253477 |
| DGBUSDT      | 0.0009475     | 0.001721    | 0.07487      | 69.33         | 0.01227      | 0.01833     | 0.06633        | 0.7756                 | 0.01252      | 786.83  | -240179.250947 |
| LINAUSDT     | 0.001383      | 0.001718    | 0.03785      | 88.9          | 0.01685      | 0.01526     | 0.05415        | 0.8156                 | 0.009049     | 814.67  | -240179.251383 |
| CELOUSDT     | 0.001042      | 0.001712    | 0.07447      | 93.98         | 0.01173      | 0.01142     | 0.015          | 0.9018                 | 0.006424     | 627.83  | -240179.251042 |
| AGIXUSDT     | 0.0009406     | 0.001707    | 0.07134      | 67.53         | 0.01377      | 0.01395     | 0.03451        | 0.909                  | 0.009912     | 115.38  | -240179.250941 |
| GALAUSDT     | 0.0009733     | 0.001701    | 0.03345      | 83.62         | 0.0105       | 0.01009     | 0.09198        | 0.9049                 | 0.005583     | 636.83  | -240179.250973 |
| RDNTUSDT     | 0.002145      | 0.001679    | 0.06475      | 38.43         | 0.01176      | 0.008818    | 0.004096       | 0.954                  | 0.004734     | 72.46   | -240179.252145 |
| XLMUSDT      | 0.0007894     | 0.001677    | 0.05072      | 64.38         | 0.006386     | 0.01791     | 0.07635        | 0.7102                 | 0.009763     | 1241.62 | -240179.250789 |
| IDUSDT       | 0.00144       | 0.001576    | 0.06588      | 35.67         | 0.01477      | 0.01824     | 0.06329        | 0.8804                 | 0.01634      | 85.38   | -240179.25144  |
| MTLUSDT      | 0.00122       | 0.001572    | 0.05988      | 84.63         | 0.01539      | 0.01876     | 0.08954        | 0.809                  | 0.01255      | 802.67  | -240179.25122  |
| COMPUSDT     | 0.0007875     | 0.001526    | 0.0682       | 81.88         | 0.01297      | 0.01637     | 0.07227        | 0.7924                 | 0.01002      | 1076.58 | -240179.250787 |
| RSRUSDT      | 0.0009835     | 0.0015      | 0.03457      | 93.38         | 0.0168       | 0.01294     | 0.02891        | 0.8851                 | 0.004222     | 970.67  | -240179.250984 |
| XTZUSDT      | 0.0005558     | 0.001497    | 0.02658      | 82.83         | 0.01079      | 0.01684     | 0.02886        | 0.7154                 | 0.008471     | 1226.62 | -240179.250556 |
| DEFIUSDT     | 0.0008365     | 0.001493    | 0.04875      | 92.97         | 0.01248      | 0.01398     | 0.02889        | 0.8322                 | 0.008182     | 1017.67 | -240179.250836 |
| LITUSDT      | 0.00079       | 0.001489    | 0.03508      | 87.6          | 0.01515      | 0.0126      | 0.009822       | 0.9094                 | 0.003864     | 844.67  | -240179.25079  |
| ICXUSDT      | 0.0009678     | 0.001488    | 0.04432      | 83.48         | 0.01164      | 0.01473     | 0.06204        | 0.8045                 | 0.009429     | 1003.67 | -240179.250968 |
| ETCUSDT      | 0.0007914     | 0.001473    | 0.05995      | 86.45         | 0.01091      | 0.01739     | 0.04198        | 0.6754                 | 0.01095      | 1246.62 | -240179.250791 |
| MINAUSDT     | 0.001464      | 0.001472    | 0.05365      | 49.0          | 0.009273     | 0.009914    | 0.01181        | 0.9167                 | 0.006222     | 129.5   | -240179.251464 |
| IOTAUSDT     | 0.0005349     | 0.001449    | 0.04491      | 95.82         | 0.01454      | 0.01634     | 0.02315        | 0.7616                 | 0.008059     | 1215.62 | -240179.250535 |
| ONEUSDT      | 0.0007433     | 0.001396    | 0.04171      | 91.47         | 0.01436      | 0.01384     | 0.06018        | 0.8248                 | 0.007        | 820.67  | -240179.250743 |
| LDOUSDT      | 0.00115       | 0.001381    | 0.0571       | 68.25         | 0.01221      | 0.01753     | 0.01416        | 0.8083                 | 0.01088      | 267.46  | -240179.25115  |
| WAVESUSDT    | 0.0009268     | 0.001381    | 0.04998      | 78.23         | 0.01326      | 0.01273     | 0.08893        | 0.8657                 | 0.006223     | 1037.67 | -240179.250927 |
| TRXUSDT      | 0.0003383     | 0.001365    | 0.02379      | 93.17         | 0.00746      | 0.008583    | 0.008941       | 0.8713                 | 0.005005     | 1248.62 | -240179.250338 |
| BNBUSDT      | 0.0004138     | 0.001362    | 0.01704      | 88.32         | 0.005731     | 0.005465    | 0.06906        | 0.9229                 | 0.002103     | 1221.62 | -240179.250414 |
| ENSUSDT      | 0.0005945     | 0.001356    | 0.05249      | 82.87         | 0.01145      | 0.01119     | 0.05288        | 0.9107                 | 0.006828     | 558.83  | -240179.250595 |
| SUSHIUSDT    | 0.0007925     | 0.001354    | 0.01937      | 67.67         | 0.01048      | 0.008689    | 0.01287        | 0.9353                 | 0.002328     | 1015.67 | -240179.250792 |
| LUNA2USDT    | 0.0008009     | 0.001346    | 0.07385      | 46.2          | 0.01303      | 0.01584     | 0.0844         | 0.8844                 | 0.01482      | 274.83  | -240179.250801 |
| HIGHUSDT     | 0.00184       | 0.001343    | 0.06111      | 59.02         | 0.01903      | 0.01447     | 0.05728        | 0.9343                 | 0.007177     | 129.88  | -240179.25184  |
| LQTYUSDT     | 0.0004355     | 0.001341    | 0.06503      | 59.38         | 0.01567      | 0.01608     | 0.09468        | 0.8826                 | 0.01154      | 98.46   | -240179.250435 |
| CKBUSDT      | 0.001458      | 0.001333    | 0.04601      | 66.47         | 0.01178      | 0.00969     | 0.0            | 0.9681                 | 0.00275      | 104.46  | -240179.251458 |
| HFTUSDT      | 0.001877      | 0.001317    | 0.07027      | 46.02         | 0.01223      | 0.011       | 0.02701        | 0.9483                 | 0.005556     | 66.46   | -240179.251877 |
| API3USDT     | 0.0005519     | 0.001295    | 0.06171      | 82.07         | 0.01192      | 0.01094     | 0.08423        | 0.9134                 | 0.005613     | 474.83  | -240179.250552 |
| DARUSDT      | 0.0004877     | 0.001283    | 0.04312      | 98.28         | 0.01162      | 0.01298     | 0.02791        | 0.8882                 | 0.00823      | 413.83  | -239950.917154 |
| STMXUSDT     | 0.0007308     | 0.001279    | 0.0681       | 75.23         | 0.01489      | 0.01932     | 0.08994        | 0.8004                 | 0.01265      | 816.67  | -240179.250731 |
