# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| RSRUSDT      | 0.001192      | 0.001585    | 0.03613      | 82.78         | 0.01527      | 0.01526     | 0.07667        | 0.8147                 | 0.008667     | 998.67  | -480179.301192 |
| SNXUSDT      | 0.001187      | 0.001837    | 0.06887      | 64.48         | 0.01301      | 0.01925     | 0.08326        | 0.7702                 | 0.01269      | 1064.67 | -480179.301187 |
| OMGUSDT      | 0.001176      | 0.00185     | 0.06959      | 86.12         | 0.01319      | 0.01663     | 0.07028        | 0.795                  | 0.01134      | 1107.58 | -480179.301176 |
| ALICEUSDT    | 0.001168      | 0.002726    | 0.06837      | 90.7          | 0.01221      | 0.01841     | 0.04999        | 0.7772                 | 0.01267      | 850.83  | -480179.301168 |
| SANDUSDT     | 0.001118      | 0.002578    | 0.04966      | 81.65         | 0.01066      | 0.015       | 0.0515         | 0.7966                 | 0.009327     | 900.67  | -480179.301118 |
| RDNTUSDT     | 0.001108      | 0.001151    | 0.05863      | 41.92         | 0.0145       | 0.01313     | 0.07264        | 0.9201                 | 0.008155     | 101.46  | -480179.301108 |
| BANDUSDT     | 0.001105      | 0.002288    | 0.06286      | 82.87         | 0.01523      | 0.01354     | 0.0421         | 0.821                  | 0.008984     | 1080.67 | -480179.301105 |
| ICXUSDT      | 0.001103      | 0.001705    | 0.05116      | 80.83         | 0.01367      | 0.01579     | 0.06207        | 0.8014                 | 0.009298     | 1032.67 | -480179.301103 |
| ONEUSDT      | 0.0011        | 0.002234    | 0.06479      | 81.05         | 0.01333      | 0.01582     | 0.08343        | 0.7845                 | 0.01251      | 848.67  | -480179.3011   |
| THETAUSDT    | 0.001095      | 0.002958    | 0.05967      | 82.82         | 0.01328      | 0.01787     | 0.03574        | 0.791                  | 0.01119      | 1142.62 | -480179.301095 |
| AXSUSDT      | 0.001091      | 0.003082    | 0.03869      | 91.45         | 0.01554      | 0.01176     | 0.01044        | 0.8719                 | 0.005643     | 966.67  | -480179.301091 |
| LRCUSDT      | 0.001089      | 0.00217     | 0.0676       | 82.42         | 0.01187      | 0.01132     | 0.06016        | 0.8318                 | 0.008124     | 998.67  | -480179.301089 |
| FILUSDT      | 0.001073      | 0.001782    | 0.0529       | 66.97         | 0.009595     | 0.01973     | 0.07741        | 0.831                  | 0.01313      | 1001.71 | -480179.301073 |
| ZRXUSDT      | 0.001071      | 0.001389    | 0.05052      | 68.27         | 0.01115      | 0.0195      | 0.09346        | 0.8013                 | 0.01228      | 1114.58 | -480179.301071 |
| LINKUSDT     | 0.00107       | 0.002451    | 0.06799      | 69.82         | 0.01123      | 0.01695     | 0.08211        | 0.8333                 | 0.01236      | 1273.62 | -480179.30107  |
| TOMOUSDT     | 0.001065      | 0.001313    | 0.03009      | 81.35         | 0.01195      | 0.01013     | 0.0615         | 0.8836                 | 0.004429     | 1005.67 | -480179.301065 |
| BELUSDT      | 0.001062      | 0.001774    | 0.06087      | 93.83         | 0.01497      | 0.01926     | 0.06492        | 0.7877                 | 0.013        | 968.67  | -480179.301062 |
| DOTUSDT      | 0.001033      | 0.002431    | 0.06984      | 83.6          | 0.00939      | 0.01288     | 0.04679        | 0.8698                 | 0.009511     | 1056.67 | -480179.301033 |
| NEARUSDT     | 0.00103       | 0.002131    | 0.04866      | 90.78         | 0.01453      | 0.01384     | 0.04525        | 0.8371                 | 0.007782     | 1002.62 | -480179.30103  |
| SKLUSDT      | 0.001027      | 0.00216     | 0.06741      | 91.87         | 0.01403      | 0.01817     | 0.0889         | 0.81                   | 0.01269      | 948.67  | -480179.301027 |
| UNFIUSDT     | 0.001022      | 0.00192     | 0.06896      | 94.93         | 0.01708      | 0.01937     | 0.01855        | 0.7795                 | 0.013        | 875.67  | -480179.301022 |
| APEUSDT      | 0.000995      | 0.001473    | 0.05468      | 92.35         | 0.009877     | 0.01363     | 0.05736        | 0.8682                 | 0.009091     | 485.33  | -480179.300995 |
| ANTUSDT      | 0.0009697     | 0.001581    | 0.05891      | 77.77         | 0.01304      | 0.01363     | 0.06337        | 0.8345                 | 0.01052      | 565.79  | -480179.30097  |
| OPUSDT       | 0.0009652     | 0.001837    | 0.04891      | 65.63         | 0.009544     | 0.0127      | 0.06122        | 0.9068                 | 0.008492     | 409.38  | -480179.300965 |
| SFPUSDT      | 0.0009644     | 0.001969    | 0.05342      | 75.1          | 0.0118       | 0.01666     | 0.02747        | 0.7902                 | 0.01054      | 870.67  | -480179.300964 |
| LDOUSDT      | 0.0009614     | 0.001452    | 0.0549       | 80.0          | 0.01748      | 0.01379     | 0.01027        | 0.8182                 | 0.008185     | 296.46  | -480179.300961 |
| MINAUSDT     | 0.0009592     | 0.00118     | 0.0656       | 54.67         | 0.01498      | 0.01153     | 0.05587        | 0.9062                 | 0.006487     | 158.5   | -480179.300959 |
| REEFUSDT     | 0.000948      | 0.002168    | 0.06873      | 79.75         | 0.01368      | 0.01305     | 0.02381        | 0.8247                 | 0.009255     | 872.67  | -480179.300948 |
| ICPUSDT      | 0.0009458     | 0.001133    | 0.04852      | 74.73         | 0.00954      | 0.007179    | 0.0            | 0.9721                 | 0.002005     | 291.88  | -480179.300946 |
| STGUSDT      | 0.000938      | 0.001374    | 0.06157      | 95.72         | 0.01226      | 0.01133     | 0.009787       | 0.9091                 | 0.004967     | 324.46  | -480179.300938 |
| CRVUSDT      | 0.0009374     | 0.002164    | 0.04536      | 84.05         | 0.01524      | 0.01848     | 0.02642        | 0.7943                 | 0.01106      | 1046.67 | -480179.300937 |
| ADAUSDT      | 0.0009354     | 0.002616    | 0.06583      | 74.55         | 0.01093      | 0.01631     | 0.07075        | 0.8127                 | 0.0144       | 1259.62 | -480179.300935 |
| RUNEUSDT     | 0.0009284     | 0.002644    | 0.06777      | 91.47         | 0.01155      | 0.01991     | 0.039          | 0.7773                 | 0.01229      | 1043.67 | -480179.300928 |
| XEMUSDT      | 0.0009136     | 0.001709    | 0.06341      | 93.8          | 0.0092       | 0.01169     | 0.04525        | 0.8527                 | 0.00782      | 863.67  | -480179.300914 |
| ETHUSDT      | 0.0009037     | 0.002027    | 0.0496       | 77.47         | 0.007675     | 0.01991     | 0.04705        | 0.7518                 | 0.01115      | 1289.96 | -480179.300904 |
| UNIUSDT      | 0.0009043     | 0.001968    | 0.06558      | 85.83         | 0.0128       | 0.01327     | 0.04497        | 0.8037                 | 0.008216     | 1029.67 | -480179.300904 |
| DGBUSDT      | 0.0008988     | 0.0017      | 0.06598      | 71.45         | 0.0116       | 0.01767     | 0.04458        | 0.7739                 | 0.01168      | 814.83  | -480179.300899 |
| CFXUSDT      | 0.0008864     | 0.001278    | 0.04449      | 64.85         | 0.01472      | 0.01321     | 0.0            | 0.947                  | 0.005361     | 145.38  | -480179.300886 |
| ZENUSDT      | 0.0008716     | 0.002491    | 0.06383      | 61.43         | 0.01277      | 0.01646     | 0.04823        | 0.7731                 | 0.01374      | 962.67  | -480179.300872 |
| AMBUSDT      | 0.0008683     | 0.0007958   | 0.04043      | 68.62         | 0.01848      | 0.01641     | 0.006965       | 0.8793                 | 0.008112     | 107.46  | -480179.300868 |
| GALUSDT      | 0.000862      | 0.001872    | 0.04924      | 62.07         | 0.01234      | 0.01342     | 0.02783        | 0.8622                 | 0.01092      | 436.38  | -480179.300862 |
| DENTUSDT     | 0.0008604     | 0.002123    | 0.05412      | 91.88         | 0.00975      | 0.01472     | 0.009153       | 0.7663                 | 0.00868      | 842.79  | -480179.30086  |
| CHRUSDT      | 0.0008552     | 0.001815    | 0.06582      | 88.92         | 0.01274      | 0.01425     | 0.04778        | 0.8298                 | 0.009914     | 854.67  | -480179.300855 |
| FTMUSDT      | 0.0008454     | 0.001853    | 0.06426      | 83.0          | 0.01774      | 0.01797     | 0.04727        | 0.803                  | 0.01032      | 1023.67 | -480179.300845 |
| AGIXUSDT     | 0.0008437     | 0.00158     | 0.06964      | 41.6          | 0.01329      | 0.01531     | 0.07772        | 0.9004                 | 0.01153      | 149.38  | -480179.300844 |
| CVXUSDT      | 0.0008444     | 0.0008374   | 0.0687       | 59.48         | 0.009636     | 0.0152      | 0.07771        | 0.8994                 | 0.01073      | 296.46  | -480179.300844 |
| ENJUSDT      | 0.0008327     | 0.001951    | 0.0571       | 82.88         | 0.0117       | 0.01921     | 0.09363        | 0.7847                 | 0.0132       | 1018.67 | -480179.300833 |
| HFTUSDT      | 0.0008316     | 0.001111    | 0.06548      | 72.08         | 0.01187      | 0.01128     | 0.03367        | 0.9217                 | 0.007992     | 100.46  | -480179.300832 |
| EGLDUSDT     | 0.0008263     | 0.001996    | 0.05191      | 67.1          | 0.008898     | 0.01362     | 0.03246        | 0.83                   | 0.00982      | 1033.67 | -480179.300826 |
| KSMUSDT      | 0.0008202     | 0.001738    | 0.05243      | 88.07         | 0.01274      | 0.01159     | 0.06801        | 0.8715                 | 0.006755     | 1003.67 | -480179.30082  |
| JOEUSDT      | 0.0008047     | 0.001104    | 0.04203      | 40.03         | 0.01146      | 0.009407    | 0.0            | 0.9439                 | 0.004733     | 108.46  | -480179.300805 |
| CTKUSDT      | 0.0008039     | 0.002903    | 0.06998      | 91.37         | 0.01137      | 0.01356     | 0.02808        | 0.826                  | 0.008847     | 967.67  | -480179.300804 |
| COMPUSDT     | 0.0007881     | 0.001436    | 0.05333      | 91.67         | 0.01433      | 0.01296     | 0.004978       | 0.9175                 | 0.005517     | 1108.58 | -480179.300788 |
| ACHUSDT      | 0.000782      | 0.001479    | 0.05958      | 51.65         | 0.01273      | 0.01044     | 0.02925        | 0.9118                 | 0.007712     | 143.38  | -480179.300782 |
| XLMUSDT      | 0.0007794     | 0.002161    | 0.04497      | 45.23         | 0.005505     | 0.0129      | 0.09071        | 0.7521                 | 0.006925     | 1270.62 | -480179.300779 |
| RENUSDT      | 0.0007723     | 0.001286    | 0.05082      | 91.8          | 0.0178       | 0.01831     | 0.02703        | 0.8132                 | 0.009037     | 1004.67 | -480179.300772 |
| VETUSDT      | 0.0007679     | 0.001851    | 0.04945      | 74.63         | 0.01058      | 0.01054     | 0.01226        | 0.8004                 | 0.007334     | 1245.62 | -480179.300768 |
| DEFIUSDT     | 0.0007671     | 0.001562    | 0.06241      | 85.25         | 0.01155      | 0.01178     | 0.0535         | 0.8299                 | 0.007887     | 1050.67 | -480179.300767 |
| ETCUSDT      | 0.0007635     | 0.001685    | 0.05042      | 92.63         | 0.01154      | 0.01102     | 0.01375        | 0.7558                 | 0.007217     | 1274.62 | -480179.300764 |
| ATOMUSDT     | 0.0007608     | 0.001626    | 0.04381      | 91.12         | 0.01221      | 0.01384     | 0.01951        | 0.803                  | 0.006371     | 1252.46 | -480179.300761 |
| SUSHIUSDT    | 0.0007594     | 0.001767    | 0.04732      | 89.85         | 0.01809      | 0.01338     | 0.04998        | 0.8076                 | 0.006812     | 1043.67 | -480179.300759 |
| ASTRUSDT     | 0.0007532     | 0.00142     | 0.06088      | 70.52         | 0.01198      | 0.0088      | 0.03937        | 0.9331                 | 0.005385     | 151.88  | -480179.300753 |
| LITUSDT      | 0.0007444     | 0.001447    | 0.03417      | 87.6          | 0.01488      | 0.01231     | 0.008793       | 0.9089                 | 0.00374      | 876.67  | -480179.300744 |
| HIGHUSDT     | 0.000738      | 0.001211    | 0.06663      | 72.38         | 0.01846      | 0.01513     | 0.05914        | 0.9061                 | 0.008702     | 158.88  | -480179.300738 |
| XTZUSDT      | 0.0007325     | 0.001794    | 0.03429      | 71.27         | 0.00916      | 0.01164     | 0.03718        | 0.8658                 | 0.006949     | 1253.62 | -480179.300732 |
| STORJUSDT    | 0.000714      | 0.001123    | 0.04209      | 92.85         | 0.01416      | 0.01232     | 0.03441        | 0.8491                 | 0.007904     | 1031.67 | -480179.300714 |
| STMXUSDT     | 0.0006848     | 0.001273    | 0.06989      | 75.23         | 0.01501      | 0.01988     | 0.09218        | 0.7957                 | 0.01316      | 844.67  | -480179.300685 |
| SPELLUSDT    | 0.0006749     | 0.0009238   | 0.04609      | 71.88         | 0.00691      | 0.007909    | 0.009809       | 0.9395                 | 0.00446      | 312.46  | -480179.300675 |
| OGNUSDT      | 0.0006727     | 0.002002    | 0.03583      | 68.28         | 0.01318      | 0.01913     | 0.05001        | 0.78                   | 0.01067      | 834.67  | -480179.300673 |
| ZECUSDT      | 0.0006669     | 0.0009999   | 0.04176      | 95.82         | 0.01534      | 0.01777     | 0.07641        | 0.7503                 | 0.009729     | 1254.62 | -480179.300667 |
| CKBUSDT      | 0.0006494     | 0.001207    | 0.05048      | 82.37         | 0.01355      | 0.01099     | 0.0002381      | 0.969                  | 0.003055     | 137.46  | -480179.300649 |
| 1INCHUSDT    | 0.0006455     | 0.001439    | 0.05088      | 92.82         | 0.01242      | 0.01586     | 0.06803        | 0.8006                 | 0.01015      | 931.54  | -480179.300645 |
