+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                                |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| UNFIUSDT     | 0.00185                   | 26.7          | 0.02076          | 0.0273          | 0.2692            | 0.8457                       | 0.0188          | 781.71  | -36007.001849880835 |
| CHZUSDT      | 0.001811                  | 32.8          | 0.01323          | 0.02621         | 0.2439            | 0.8816                       | 0.01605         | 810.71  | -36007.00181074416  |
| NEARUSDT     | 0.001801                  | 46.72         | 0.01233          | 0.0158          | 0.2706            | 0.9361                       | 0.01073         | 908.66  | -36007.001800841186 |
| FILUSDT      | 0.001766                  | 21.85         | 0.008517         | 0.0201          | 0.2886            | 0.9162                       | 0.01136         | 907.75  | -36007.0017659577   |
| ALICEUSDT    | 0.001765                  | 35.7          | 0.01815          | 0.02674         | 0.1648            | 0.856                        | 0.02048         | 756.87  | -36007.00176488492  |
| STMXUSDT     | 0.00173                   | 23.07         | 0.02286          | 0.02971         | 0.1568            | 0.8405                       | 0.02659         | 750.71  | -36007.00172956582  |
| XMRUSDT      | 0.001721                  | 51.67         | 0.009604         | 0.01446         | 0.2683            | 0.8886                       | 0.009653        | 1163.66 | -36007.00172121398  |
| AUDIOUSDT    | 0.001716                  | 36.95         | 0.01331          | 0.01603         | 0.2205            | 0.9505                       | 0.0101          | 600.85  | -36007.001715648905 |
| IOSTUSDT     | 0.001716                  | 64.87         | 0.02182          | 0.02899         | 0.02922           | 0.8312                       | 0.01968         | 1145.66 | -36007.001715633916 |
| RUNEUSDT     | 0.00171                   | 71.38         | 0.02165          | 0.02296         | 0.151             | 0.8816                       | 0.01485         | 949.7   | -36007.00171007577  |
| MATICUSDT    | 0.00171                   | 30.12         | 0.01029          | 0.01648         | 0.2896            | 0.9189                       | 0.01276         | 901.71  | -36007.001709800505 |
| EOSUSDT      | 0.001697                  | 50.88         | 0.01743          | 0.02532         | 0.1993            | 0.7728                       | 0.01359         | 1189.66 | -36007.00169710704  |
| MTLUSDT      | 0.001688                  | 39.82         | 0.0179           | 0.02703         | 0.08961           | 0.8361                       | 0.01754         | 741.71  | -36007.00168784236  |
| TRXUSDT      | 0.001643                  | 73.62         | 0.009637         | 0.01256         | 0.2825            | 0.9113                       | 0.009421        | 1182.66 | -36007.001642906616 |
| DGBUSDT      | 0.001642                  | 42.55         | 0.01233          | 0.01815         | 0.2408            | 0.9337                       | 0.01283         | 720.85  | -36007.00164213167  |
| C98USDT      | 0.001638                  | 46.75         | 0.01399          | 0.02102         | 0.2664            | 0.8636                       | 0.01471         | 595.85  | -36007.00163773603  |
| ENJUSDT      | 0.001606                  | 69.35         | 0.01545          | 0.029           | 0.1432            | 0.8526                       | 0.01778         | 924.71  | -36007.001606157224 |
| STORJUSDT    | 0.001604                  | 37.75         | 0.01496          | 0.02189         | 0.234             | 0.8718                       | 0.01692         | 937.7   | -36007.00160405626  |
| BTCDOMUSDT   | 0.001573                  | 95.98         | 0.01864          | 0.01787         | 0.1394            | 0.9192                       | 0.01834         | 659.85  | -36007.00157317043  |
| TOMOUSDT     | 0.00156                   | 46.2          | 0.01631          | 0.01423         | 0.1784            | 0.9199                       | 0.007012        | 911.71  | -36007.001559949655 |
| BLZUSDT      | 0.001543                  | 50.87         | 0.02359          | 0.02933         | 0.1752            | 0.8509                       | 0.01943         | 936.7   | -36007.00154290898  |
| CRVUSDT      | 0.001535                  | 51.1          | 0.02569          | 0.02477         | 0.05028           | 0.8747                       | 0.01343         | 952.71  | -36007.001534641866 |
| ADAUSDT      | 0.001522                  | 41.72         | 0.01327          | 0.01988         | 0.2686            | 0.9474                       | 0.01334         | 1166.66 | -36007.001521918864 |
| BNBUSDT      | 0.001515                  | 79.5          | 0.01814          | 0.02847         | 0.1792            | 0.7942                       | 0.01958         | 1156.66 | -36007.00151470168  |
| ZILUSDT      | 0.001492                  | 49.08         | 0.01465          | 0.02109         | 0.1667            | 0.895                        | 0.01555         | 1027.62 | -36007.00149171935  |
| AXSUSDT      | 0.001489                  | 90.53         | 0.01261          | 0.02267         | 0.2443            | 0.9313                       | 0.01213         | 872.7   | -36007.0014886968   |
| SNXUSDT      | 0.001482                  | 44.62         | 0.01665          | 0.01506         | 0.2304            | 0.9382                       | 0.008047        | 970.7   | -36007.00148186306  |
| RVNUSDT      | 0.001475                  | 33.37         | 0.01152          | 0.02316         | 0.1612            | 0.8488                       | 0.0152          | 777.71  | -36007.001474689576 |
| MASKUSDT     | 0.001464                  | 13.5          | 0.0122           | 0.01047         | 0.1875            | 0.9501                       | 0.002955        | 592.85  | -36007.00146384307  |
| BATUSDT      | 0.001448                  | 41.93         | 0.01413          | 0.02585         | 0.2565            | 0.8616                       | 0.01783         | 1153.66 | -36007.001447811635 |
| XTZUSDT      | 0.001442                  | 67.57         | 0.01685          | 0.02448         | 0.2736            | 0.9434                       | 0.01471         | 1160.66 | -36007.001441707966 |
| TRBUSDT      | 0.001425                  | 37.03         | 0.02432          | 0.02658         | 0.1196            | 0.8365                       | 0.01744         | 950.71  | -36007.001424895105 |
| WAVESUSDT    | 0.001424                  | 44.83         | 0.01274          | 0.01978         | 0.2741            | 0.9217                       | 0.0126          | 972.71  | -36007.001423790934 |
| 1000XECUSDT  | 0.001407                  | 80.0          | 0.008504         | 0.01408         | 0.2697            | 0.9592                       | 0.009569        | 571.85  | -36007.00140652794  |
| EGLDUSDT     | 0.001402                  | 61.02         | 0.009547         | 0.01534         | 0.2814            | 0.937                        | 0.01012         | 939.71  | -36007.001402384005 |
