+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| QTUMUSDT  | 0.001032                  | 86.0          | 0.01471          | 0.01602         | 0.03217           | 0.9004                       | 0.00648         | 1115.62 | -56012.50103233947  |
| XMRUSDT   | 0.001019                  | 73.65         | 0.009067         | 0.01771         | 0.149             | 0.7699                       | 0.009866        | 1132.62 | -56012.50101947496  |
| FTMUSDT   | 0.001013                  | 90.52         | 0.01236          | 0.01727         | 0.2097            | 0.8009                       | 0.009452        | 898.67  | -56012.5010130554   |
| ZECUSDT   | 0.001009                  | 95.5          | 0.01199          | 0.0165          | 0.1749            | 0.7738                       | 0.009139        | 1130.62 | -56012.501009481886 |
| EGLDUSDT  | 0.001004                  | 81.85         | 0.01463          | 0.01416         | 0.1577            | 0.9197                       | 0.005462        | 908.67  | -56012.50100432505  |
| BLZUSDT   | 0.001001                  | 89.58         | 0.01765          | 0.01757         | 0.1999            | 0.8997                       | 0.008514        | 905.67  | -56012.50100126442  |
| LITUSDT   | 0.0009887                 | 87.57         | 0.01723          | 0.01608         | 0.1324            | 0.9106                       | 0.006321        | 751.67  | -56012.50098874801  |
| CHRUSDT   | 0.0009595                 | 95.62         | 0.01571          | 0.01522         | 0.07763           | 0.8358                       | 0.009603        | 729.67  | -56012.500959525336 |
| COMPUSDT  | 0.0009576                 | 90.98         | 0.01327          | 0.01228         | 0.201             | 0.9324                       | 0.005164        | 984.58  | -56012.50095757446  |
| BALUSDT   | 0.0009466                 | 74.4          | 0.008385         | 0.01149         | 0.1688            | 0.9398                       | 0.006578        | 921.67  | -56012.50094662054  |
| XEMUSDT   | 0.0009341                 | 88.37         | 0.01001          | 0.01268         | 0.2073            | 0.8708                       | 0.007314        | 738.67  | -56012.500934101176 |
| VETUSDT   | 0.0009201                 | 70.72         | 0.009046         | 0.02038         | 0.1021            | 0.7376                       | 0.00899         | 1121.62 | -56012.50092014682  |
| SXPUSDT   | 0.0009128                 | 88.75         | 0.01187          | 0.01527         | 0.1588            | 0.8266                       | 0.009732        | 963.58  | -56012.500912793854 |
| XLMUSDT   | 0.0009038                 | 64.72         | 0.006485         | 0.01665         | 0.174             | 0.8005                       | 0.008746        | 1146.62 | -56012.50090384856  |
| XTZUSDT   | 0.0008436                 | 82.98         | 0.0118           | 0.01736         | 0.06331           | 0.8228                       | 0.00792         | 1129.62 | -56012.500843550515 |
| IOSTUSDT  | 0.0008064                 | 92.07         | 0.01421          | 0.01465         | 0.09271           | 0.8811                       | 0.007807        | 1114.62 | -56012.50080641649  |
| STMXUSDT  | 0.0008035                 | 77.47         | 0.01428          | 0.01601         | 0.2181            | 0.8755                       | 0.009389        | 719.67  | -56012.500803481234 |
| ZRXUSDT   | 0.0007698                 | 45.05         | 0.008989         | 0.01032         | 0.01671           | 0.8971                       | 0.005295        | 990.58  | -56012.50076979464  |
| NEOUSDT   | 0.0007121                 | 83.27         | 0.01085          | 0.017           | 0.2194            | 0.8064                       | 0.009438        | 1118.62 | -56012.50071208291  |
| KNCUSDT   | 0.0006835                 | 89.78         | 0.01355          | 0.01268         | 0.07284           | 0.9358                       | 0.004281        | 992.62  | -56012.500683477076 |
| LINAUSDT  | 0.0006505                 | 92.68         | 0.02241          | 0.01851         | 0.2561            | 0.859                        | 0.008787        | 722.67  | -56012.50065050306  |
| BCHUSDT   | 0.0006491                 | 76.67         | 0.0123           | 0.008818        | 0.1176            | 0.8493                       | 0.003909        | 1165.96 | -56012.50064911794  |
| OGNUSDT   | 0.0006302                 | 72.58         | 0.01495          | 0.01476         | 0.1963            | 0.87                         | 0.007433        | 709.67  | -56012.500630159426 |
| BTCUSDT   | 0.0005488                 | 87.97         | 0.00499          | 0.007679        | 0.205             | 0.9326                       | 0.004543        | 1165.96 | -56012.500548847296 |
| IOTAUSDT  | 0.0005186                 | 66.87         | 0.008983         | 0.01152         | 0.1117            | 0.8681                       | 0.005298        | 1123.62 | -56012.50051859749  |
| DASHUSDT  | 0.0004954                 | 92.15         | 0.01067          | 0.01011         | 0.1474            | 0.8479                       | 0.002957        | 1131.62 | -56012.50049539405  |
| TRBUSDT   | 0.0004882                 | 88.37         | 0.0161           | 0.0146          | 0.2202            | 0.8462                       | 0.004889        | 919.67  | -56012.50048819263  |
| TRXUSDT   | 0.0004645                 | 65.72         | 0.007757         | 0.01294         | 0.01388           | 0.9001                       | 0.007815        | 1151.62 | -56012.5004645358   |
| ONTUSDT   | 0.0003928                 | 88.95         | 0.01473          | 0.01263         | 0.09312           | 0.9069                       | 0.002722        | 1124.62 | -56012.5003928082   |
| FLMUSDT   | 0.0003871                 | 83.62         | 0.0142           | 0.01838         | 0.2308            | 0.898                        | 0.005473        | 893.67  | -56012.50038713821  |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              short                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| REEFUSDT  | 0.002457                  | 92.1          | 0.01317          | 0.01274         | 0.192             | 0.8902                       | 0.009541        | 747.67  | -36012.50245681723  |
| OCEANUSDT | 0.002443                  | 65.68         | 0.01322          | 0.01291         | 0.1846            | 0.8701                       | 0.009906        | 858.67  | -36012.50244318771  |
| CELRUSDT  | 0.002085                  | 54.05         | 0.008714         | 0.01126         | 0.1979            | 0.8777                       | 0.009432        | 712.67  | -36012.50208534294  |
| GRTUSDT   | 0.001982                  | 51.12         | 0.01225          | 0.01138         | 0.05707           | 0.9108                       | 0.00879         | 812.67  | -36012.501981659676 |
| STMXUSDT  | 0.001981                  | 94.13         | 0.01318          | 0.01338         | 0.2337            | 0.8994                       | 0.009555        | 719.67  | -36012.50198093323  |
| LITUSDT   | 0.00188                   | 90.67         | 0.01533          | 0.01536         | 0.1805            | 0.8832                       | 0.009526        | 751.67  | -36012.501880293305 |
| XEMUSDT   | 0.00185                   | 82.55         | 0.01079          | 0.01071         | 0.05068           | 0.9267                       | 0.008661        | 738.67  | -36012.50185011367  |
| ONTUSDT   | 0.001531                  | 59.75         | 0.00889          | 0.01082         | 0.1904            | 0.8996                       | 0.008992        | 1124.62 | -36012.50153106487  |
| SUSHIUSDT | 0.001526                  | 83.9          | 0.01433          | 0.01373         | 0.2784            | 0.8494                       | 0.00934         | 918.67  | -36012.50152550784  |
| BANDUSDT  | 0.001499                  | 62.02         | 0.009962         | 0.01079         | 0.2145            | 0.8882                       | 0.007738        | 955.67  | -36012.50149859265  |
| RSRUSDT   | 0.001496                  | 81.48         | 0.01405          | 0.01241         | 0.03336           | 0.9094                       | 0.006481        | 873.67  | -36012.50149610951  |
| BLZUSDT   | 0.001479                  | 92.33         | 0.0177           | 0.01901         | 0.03431           | 0.8314                       | 0.008758        | 905.67  | -36012.50147907179  |
| TRBUSDT   | 0.001417                  | 70.12         | 0.01295          | 0.0142          | 0.0777            | 0.8341                       | 0.009532        | 919.67  | -36012.501416641644 |
| SFPUSDT   | 0.001409                  | 85.38         | 0.01066          | 0.01351         | 0.05997           | 0.8383                       | 0.009867        | 745.67  | -36012.50140879624  |
