+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                               long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+---------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days  | score               |
| SXPUSDT   | 0.001124                  | 94.13         | 0.01828          | 0.0179          | 0.2895            | 0.8286                       | 0.00882         | 963.62  | -36012.5011237707   |
| XTZUSDT   | 0.00112                   | 68.33         | 0.01091          | 0.01019         | 0.2319            | 0.9098                       | 0.006042        | 1129.67 | -36012.50112036229  |
| SNXUSDT   | 0.001119                  | 91.53         | 0.02184          | 0.01744         | 0.1465            | 0.8581                       | 0.008885        | 939.71  | -36012.50111938709  |
| BALUSDT   | 0.001113                  | 93.37         | 0.01674          | 0.01537         | 0.1885            | 0.9043                       | 0.008247        | 921.71  | -36012.50111347503  |
| NEOUSDT   | 0.001102                  | 86.15         | 0.01147          | 0.01322         | 0.07314           | 0.8984                       | 0.008583        | 1118.67 | -36012.50110164306  |
| XEMUSDT   | 0.001095                  | 83.42         | 0.01359          | 0.01485         | 0.01996           | 0.9113                       | 0.008773        | 738.71  | -36012.50109522655  |
| ONEUSDT   | 0.001091                  | 83.6          | 0.01594          | 0.01648         | 0.17              | 0.8912                       | 0.009086        | 723.71  | -36012.50109121841  |
| ZILUSDT   | 0.001087                  | 75.77         | 0.01066          | 0.01091         | 0.01578           | 0.8676                       | 0.008548        | 996.62  | -36012.50108700706  |
| GRTUSDT   | 0.001068                  | 78.45         | 0.01575          | 0.01453         | 0.03499           | 0.942                        | 0.003883        | 812.71  | -36012.50106823733  |
| ALICEUSDT | 0.001067                  | 93.25         | 0.018            | 0.01636         | 0.2239            | 0.8524                       | 0.009745        | 725.88  | -36012.501067414    |
| ZRXUSDT   | 0.00106                   | 72.25         | 0.01247          | 0.01367         | 0.284             | 0.7069                       | 0.009992        | 990.62  | -36012.501059705726 |
| SUSHIUSDT | 0.001042                  | 93.55         | 0.02006          | 0.01821         | 0.1439            | 0.8569                       | 0.008684        | 918.71  | -36012.50104248171  |
| ZENUSDT   | 0.001029                  | 95.22         | 0.01728          | 0.01783         | 0.1857            | 0.8887                       | 0.009934        | 837.71  | -36012.50102934776  |
| KAVAUSDT  | 0.0009858                 | 80.87         | 0.01506          | 0.01552         | 0.2609            | 0.8184                       | 0.009963        | 956.71  | -36012.50098575399  |
| FLMUSDT   | 0.0009731                 | 84.33         | 0.01723          | 0.0164          | 0.04172           | 0.833                        | 0.009738        | 893.71  | -36012.50097310725  |
| DGBUSDT   | 0.0009699                 | 70.2          | 0.01075          | 0.01529         | 0.1274            | 0.872                        | 0.009897        | 689.88  | -36012.5009699011   |
| KSMUSDT   | 0.0009669                 | 94.0          | 0.01247          | 0.01349         | 0.2307            | 0.8942                       | 0.009048        | 878.71  | -36012.50096686348  |
| ZECUSDT   | 0.00096                   | 73.12         | 0.01522          | 0.01531         | 0.1311            | 0.8522                       | 0.0094          | 1130.67 | -36012.50096002549  |
| SANDUSDT  | 0.0009393                 | 92.3          | 0.01792          | 0.01984         | 0.09752           | 0.8422                       | 0.009319        | 775.71  | -36012.50093931154  |
| CTKUSDT   | 0.0009329                 | 85.05         | 0.01315          | 0.0172          | 0.1278            | 0.8219                       | 0.009729        | 842.71  | -36012.50093292048  |
| HBARUSDT  | 0.0009245                 | 85.32         | 0.01634          | 0.0176          | 0.03763           | 0.9329                       | 0.00567         | 724.71  | -36012.50092453     |
| THETAUSDT | 0.0009022                 | 91.77         | 0.01365          | 0.01528         | 0.2559            | 0.8632                       | 0.009186        | 1018.67 | -36012.500902207204 |
| DEFIUSDT  | 0.0009002                 | 95.58         | 0.01846          | 0.01555         | 0.2303            | 0.9212                       | 0.008666        | 925.71  | -36012.500900210536 |
| NKNUSDT   | 0.0008867                 | 86.05         | 0.015            | 0.01657         | 0.2483            | 0.8378                       | 0.009999        | 701.71  | -36012.50088669197  |
| 1INCHUSDT | 0.0008846                 | 73.43         | 0.01752          | 0.0181          | 0.249             | 0.8545                       | 0.009988        | 806.58  | -36012.50088459593  |
| LINAUSDT  | 0.0008767                 | 79.22         | 0.02224          | 0.02328         | 0.06273           | 0.8507                       | 0.009645        | 722.71  | -36012.50087668438  |
| NEARUSDT  | 0.00087                   | 68.93         | 0.01771          | 0.01729         | 0.1166            | 0.8318                       | 0.009271        | 877.67  | -36012.50086998444  |
| XMRUSDT   | 0.0008543                 | 77.13         | 0.007432         | 0.009771        | 0.2711            | 0.9225                       | 0.007001        | 1132.67 | -36012.500854342434 |
| BANDUSDT  | 0.0008498                 | 95.65         | 0.02213          | 0.02064         | 0.2297            | 0.86                         | 0.006256        | 955.71  | -36012.50084979255  |
| DENTUSDT  | 0.0008248                 | 87.03         | 0.0206           | 0.02277         | 0.2228            | 0.8728                       | 0.008285        | 717.83  | -36012.50082482117  |
| LTCUSDT   | 0.000823                  | 95.97         | 0.0127           | 0.01193         | 0.1306            | 0.9502                       | 0.004254        | 1157.67 | -36012.50082302313  |
| FTMUSDT   | 0.0008207                 | 93.65         | 0.01429          | 0.01318         | 0.2032            | 0.8887                       | 0.004557        | 898.71  | -36012.50082074046  |
| CHRUSDT   | 0.0008147                 | 89.43         | 0.01155          | 0.01391         | 0.189             | 0.8725                       | 0.00785         | 729.71  | -36012.50081469602  |
| ETCUSDT   | 0.0008106                 | 64.27         | 0.008683         | 0.01393         | 0.07672           | 0.8544                       | 0.009027        | 1150.67 | -36012.5008106084   |
| HNTUSDT   | 0.0007953                 | 79.45         | 0.01582          | 0.01525         | 0.04651           | 0.9401                       | 0.005043        | 894.71  | -36012.500795294094 |
| ICXUSDT   | 0.00079                   | 91.25         | 0.02003          | 0.02005         | 0.1543            | 0.8674                       | 0.008709        | 907.71  | -36012.50078999015  |
| EOSUSDT   | 0.00078                   | 90.38         | 0.0113           | 0.01362         | 0.04596           | 0.8034                       | 0.009558        | 1158.67 | -36012.50078001031  |
| DOTUSDT   | 0.0007678                 | 83.22         | 0.01147          | 0.01172         | 0.1412            | 0.886                        | 0.006243        | 931.71  | -36012.500767787016 |
| ALPHAUSDT | 0.000764                  | 95.63         | 0.02164          | 0.02074         | 0.1278            | 0.8286                       | 0.009621        | 838.71  | -36012.50076400953  |
| COTIUSDT  | 0.0007611                 | 94.85         | 0.01973          | 0.01778         | 0.05516           | 0.9076                       | 0.008292        | 731.71  | -36012.500761072704 |
| XRPUSDT   | 0.0007604                 | 56.87         | 0.008239         | 0.0126          | 0.09416           | 0.8231                       | 0.00999         | 1160.67 | -36012.50076044132  |
| OMGUSDT   | 0.0007575                 | 77.77         | 0.01124          | 0.01216         | 0.2895            | 0.8319                       | 0.00855         | 982.62  | -36012.500757464266 |
| LINKUSDT  | 0.0007451                 | 73.12         | 0.01412          | 0.01367         | 0.04745           | 0.8849                       | 0.008952        | 1149.67 | -36012.50074512723  |
| BCHUSDT   | 0.0007354                 | 89.35         | 0.01233          | 0.01137         | 0.1219            | 0.9125                       | 0.006682        | 1166.0  | -36012.500735414505 |
| BATUSDT   | 0.0007068                 | 82.9          | 0.0118           | 0.01294         | 0.1912            | 0.8923                       | 0.006925        | 1122.67 | -36012.50070684557  |
| EGLDUSDT  | 0.0007049                 | 94.67         | 0.01225          | 0.013           | 0.205             | 0.8753                       | 0.008145        | 908.71  | -36012.50070487147  |
| TRXUSDT   | 0.0006746                 | 90.75         | 0.01086          | 0.0152          | 0.2723            | 0.8957                       | 0.009999        | 1151.67 | -36012.50067456397  |
| FILUSDT   | 0.0006717                 | 92.55         | 0.01025          | 0.008925        | 0.251             | 0.9258                       | 0.002444        | 876.75  | -36012.50067171768  |
| UNIUSDT   | 0.0006185                 | 95.0          | 0.01532          | 0.01836         | 0.03911           | 0.9111                       | 0.007323        | 904.71  | -36012.50061850572  |
