trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,actual_balance,apparent_balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
3152408,3.7848,buy,long,entry,8.8,0.0,-0.005995123200000001,8.8,3.7848,-64.0,3.5148470312500004,0.28851073973349656,71.71574030619996,38.920970306199955,0.0,52.77442000000009,-13.853449693800002,88.92097030619995,29.610683111964583,5.042794343064302,1615470873164.0,0.39269717648407115,0.2399086996319072,1.4343148061239992,10.017300636574074,1.0366625136579566,0.0,5.620898888888889,5.620898888888889
3170241,3.6072,buy,long,reentry,13.4,0.0,-0.0087005664,22.2,3.6776,-64.0,3.5148470312500004,0.39801900226339776,81.44297973979998,38.91226973979995,0.0,52.77442000000009,-13.862150260200002,88.91226973979995,29.607785823353385,5.487597471945214,1615472451194.0,0.3949186429783322,0.09171189492161767,1.6288595947959996,10.035564872685185,1.0498162138818987,0.0,6.059240555555555,6.059240555555555
3175624,3.6825,sel,long,close,-9.1,0.04459000000000115,-0.006031935,13.1,3.6776,-64.0,3.5148470312500004,0.4901016840756004,78.27504780479998,38.95082780479996,0.0,52.81901000000009,-13.868182195200001,88.95082780479996,29.62062565899839,5.1735012987037265,1615473155500.0,0.39558920621158555,0.13638803551577408,1.5655009560959996,10.0437165625,1.0456361957202827,0.0,6.254881111111111,6.254881111111111
3175749,3.6825,sel,long,close,-9.1,0.04459000000000115,-0.006031935,4.0,3.6776,-64.0,3.5148470312500004,0.4046976102915359,78.24919586979999,38.98938586979996,0.0,52.86360000000009,-13.8742141302,88.98938586979996,29.63346549464339,4.953469670735664,1615473177368.0,0.39560477752946716,0.13725623478445367,1.5649839173959998,10.043969664351852,1.0456006316993194,0.0,6.260955555555555,6.260955555555555
3175751,3.6831,sel,long,close,-4.0,0.02200000000000024,-0.0026518320000000002,0.0,,-64.0,3.5148470312500004,0.3448820782840095,78.2341440378,39.00873403779996,0.0,52.88560000000009,-13.8768659622,89.00873403779995,29.639908434587387,4.876350398201416,1615473177368.0,0.39560502667055325,0.13772234786379278,1.5646828807559998,10.043969664351852,1.0455806050848235,0.0,6.260955555555555,6.260955555555555
3175774,3.6845,buy,long,entry,9.1,0.0,-0.0060352109999999995,9.1,3.6845,-64.0,3.5148470312500004,0.32376425827331656,78.18882882679999,39.002698826799964,0.0,52.88560000000009,-13.8829011732,89.00269882679996,29.637898709324386,5.067420549612748,1615473178612.0,0.3956078917930435,0.13830453994846648,1.5637765765359999,10.0439840625,1.0455202250696016,0.0,6.261301111111111,6.261301111111111
3175959,3.6895,sel,long,close,-9.1,0.04549999999999903,-0.006043401,0.0,,-64.0,3.5148470312500004,0.37343358348133876,77.85796542579999,39.04215542579996,0.0,52.931100000000086,-13.8889445742,89.04215542579996,29.65103775679139,4.876869492821198,1615473203548.0,0.39563093734350824,0.14364862912656898,1.5571593085159998,10.044272673611111,1.0450775752576236,0.0,6.268227777777778,6.268227777777778
3175973,3.6891,buy,long,entry,9.1,0.0,-0.0060427458,9.1,3.6891,-64.0,3.5148470312500004,0.32218232149144593,77.91686268,39.03611267999996,0.0,52.931100000000086,-13.89498732,89.03611267999996,29.649025522439988,5.067267922932636,1615473205046.0,0.395632681331111,0.14270659286765788,1.5583372536,10.044290011574073,1.0451561773554374,0.0,6.268643888888889,6.268643888888889
3185404,3.6941,sel,long,close,-9.1,0.04550000000000307,-0.0060509358,0.0,,-64.0,3.5148470312500004,0.37168207539728126,77.59697174419999,39.075561744199966,0.0,52.97660000000009,-13.9010382558,89.07556174419996,29.662162060818588,4.877388353382828,1615474562610.0,0.3968075061226422,0.14792574686856821,1.5519394348839999,10.060002557870371,1.0446567871742583,0.0,6.645745,6.645745
3185424,3.695,buy,long,entry,9.1,0.0,-0.00605241,9.1,3.695,-64.0,3.5148470312500004,0.3202469624510266,77.57814933419998,39.069509334199964,0.0,52.97660000000009,-13.9070906658,89.06950933419996,29.66014660828859,5.0669012106233255,1615474563802.0,0.39680999753350327,0.14812624558103593,1.5515629866839995,10.060016354166667,1.0446315331548035,0.0,6.646076111111111,6.646076111111111
