trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,actual_balance,apparent_balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
41224,0.51756,sel,shrt,entry,-46.0,0.0,-0.004285396800000001,44.0,0.53596,-46.0,0.51756,0.8718040403551915,19.866434259600013,0.6760542596000171,0.0,0.8535200000000169,-0.17746574040000004,20.67605425960001,11.764674873712405,8.228966243937016,1613832702655,0.005881588376986074,0.04075316130818836,0.9933217129800006,0.15484060185185186,0.9576482510330296,1.0670802777777777,0.00024055555555555554,1.0670802777777777
41374,0.51662,buy,shrt,close,46.0,0.04324000000000239,-0.0042776136,44.0,0.53596,-0.0,,14.928778467193853,19.863616646000015,0.7150166460000195,0.0,0.8967600000000193,-0.18174335400000005,20.715016646000013,11.786844471574007,0.06555751220962104,1613832705040,0.005902989460251839,0.042862285110171344,0.9931808323000008,0.15486820601851853,0.9567789589097895,1.0677427777777777,0.0,1.0677427777777777
41414,0.5166,sel,shrt,entry,-46.0,0.0,-0.004277448,44.0,0.53596,-46.0,0.5166,0.8731226781311766,19.85869919800001,0.7107391980000195,0.0,0.8967600000000193,-0.18602080200000004,20.710739198000013,11.784410603662007,8.225235904724416,1613832705850,0.005908696415789377,0.04290512643878568,0.9929349599000006,0.1548775810185185,0.9552532046572287,1.0679677777777778,0.000225,1.0679677777777778
41485,0.51566,buy,shrt,close,46.0,0.04323999999999728,-0.0042696648000000005,44.0,0.53596,-0.0,,14.9518179794124,19.85518953320001,0.7497095332000168,0.0,0.9400000000000166,-0.19029046680000003,20.74970953320001,11.806584724390806,0.06476427809584753,1613832706051,0.0059188262618685055,0.04505220151659929,0.9927594766600005,0.1548799074074074,0.9541643566814089,1.0680236111111112,0.0,1.0680236111111112
41530,0.51652,sel,shrt,entry,-47.0,0.0,-0.0043697592,44.0,0.53596,-47.0,0.51652,0.874616618403873,19.889949774000012,0.7453397740000167,0.0,0.9400000000000166,-0.19466022600000002,20.745339774000012,11.804098331406006,6.046119507614217,1613832707170,0.005925246586848235,0.04300614178111998,0.9944974887000007,0.1548928587962963,0.9650042957730726,1.0683344444444445,0.0003108333333333333,1.0683344444444445
43519,0.51558,buy,shrt,close,47.0,0.04417999999999722,-0.0043618068000000005,44.0,0.53596,-0.0,,10.727058416149537,19.88799796720001,0.785157967200014,0.0,0.9841800000000138,-0.19902203280000003,20.78515796720001,11.826754883336806,0.063953768812877,1613832881037,0.006209024950952284,0.04511062407989117,0.9943998983600005,0.15690520833333332,0.9648416372890086,1.1166308333333332,0.0,1.1166308333333332
43532,0.51564,sel,shrt,entry,-47.0,0.0,-0.0043623144,44.0,0.53596,-47.0,0.51564,0.8759985093303403,19.88638565280001,0.780795652800014,0.0,0.9841800000000138,-0.20338434720000004,20.78079565280001,11.824272726443205,6.044454498815571,1613832881801,0.006210879711501984,0.04497599592081065,0.9943192826400005,0.15691405092592592,0.9643452049876448,1.1168430555555555,0.00021222222222222223,1.1168430555555555
43781,0.5147,buy,shrt,close,47.0,0.04417999999999722,-0.0043543620000000005,44.0,0.53596,-0.0,,10.743873980095925,19.884741290800005,0.8206212908000112,0.0,1.028360000000011,-0.20773870920000004,20.820621290800005,11.846933514465203,0.06314291908725063,1613832899003,0.006246405509723154,0.0470652339054067,0.9942370645400003,0.15711314814814814,0.9638821326978754,1.1216213888888888,0.0,1.1216213888888888
43797,0.51488,sel,shrt,entry,-47.0,0.0,-0.0043558848,44.0,0.53596,-47.0,0.51488,0.8773685781952795,19.888685406000008,0.8162654060000112,0.0,1.028360000000011,-0.21209459400000003,20.816265406000007,11.844455016014003,6.044383927241966,1613832899766,0.0062486882919381695,0.04663857771716612,0.9944342703000004,0.15712197916666668,0.9651015684629626,1.1218333333333332,0.00021194444444444445,1.1218333333333332
43864,0.51394,buy,shrt,close,47.0,0.04418000000000244,-0.0043479324,44.0,0.53596,-0.0,,10.761103510676485,19.88677747360001,0.8560974736000136,0.0,1.0725400000000134,-0.21644252640000003,20.85609747360001,11.867119462478405,0.06233177534296666,1613832900064,0.006258247442463545,0.04874193424685253,0.9943388736800005,0.15712542824074074,0.9645132440228452,1.1219161111111111,0.0,1.1219161111111111
