+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| GALUSDT      | 0.001348      | 0.001633    | 59.6          | 0.0156       | 0.01502     | 0.0            | 0.8748                 | 0.009522     | 369.41  | -22518.0013476 |
| CELRUSDT     | 0.001342      | 0.001902    | 94.95         | 0.01439      | 0.01597     | 0.0            | 0.8146                 | 0.01045      | 771.71  | -22518.001342  |
| ANTUSDT      | 0.001318      | 0.00147     | 89.27         | 0.01438      | 0.01336     | 0.0            | 0.9217                 | 0.005911     | 498.83  | -22518.0013181 |
| BELUSDT      | 0.001302      | 0.001472    | 74.78         | 0.01752      | 0.01615     | 0.0            | 0.8309                 | 0.008269     | 902.71  | -22518.0013021 |
| ARPAUSDT     | 0.001296      | 0.001608    | 58.93         | 0.01002      | 0.009793    | 0.0            | 0.8972                 | 0.006519     | 567.85  | -22518.0012957 |
| GALAUSDT     | 0.001239      | 0.001652    | 94.87         | 0.01019      | 0.011       | 0.0            | 0.8454                 | 0.008251     | 598.85  | -22518.0012389 |
| CHZUSDT      | 0.001221      | 0.002133    | 55.93         | 0.01016      | 0.01619     | 0.0            | 0.761                  | 0.007837     | 838.71  | -22518.0012212 |
| DENTUSDT     | 0.00117       | 0.001367    | 62.57         | 0.01629      | 0.01577     | 0.0            | 0.9071                 | 0.004967     | 776.83  | -22518.0011699 |
| COTIUSDT     | 0.001157      | 0.001935    | 32.78         | 0.01379      | 0.01195     | 0.0            | 0.8081                 | 0.007471     | 790.71  | -22518.0011565 |
| ATOMUSDT     | 0.00115       | 0.001809    | 88.82         | 0.01075      | 0.01618     | 0.0            | 0.6694                 | 0.009438     | 1187.49 | -22518.0011498 |
| ZECUSDT      | 0.001149      | 0.001253    | 62.78         | 0.0115       | 0.01184     | 0.0            | 0.8785                 | 0.006222     | 1189.66 | -22518.0011489 |
| ROSEUSDT     | 0.001141      | 0.001643    | 91.45         | 0.01363      | 0.0122      | 0.0            | 0.9196                 | 0.005687     | 494.85  | -22518.0011411 |
| DYDXUSDT     | 0.001134      | 0.001031    | 83.65         | 0.01368      | 0.01466     | 0.0            | 0.9408                 | 0.003768     | 606.85  | -22518.0011336 |
| APEUSDT      | 0.001113      | 0.001501    | 77.22         | 0.01503      | 0.01857     | 0.0            | 0.8316                 | 0.01332      | 418.37  | -22518.0011132 |
| PEOPLEUSDT   | 0.0011        | 0.001641    | 92.53         | 0.01747      | 0.01731     | 0.0            | 0.8697                 | 0.01259      | 501.83  | -22518.0011004 |
| RENUSDT      | 0.001084      | 0.001351    | 95.63         | 0.01318      | 0.01746     | 0.0            | 0.8268                 | 0.01326      | 938.71  | -22518.0010838 |
| ENSUSDT      | 0.001081      | 0.001457    | 65.2          | 0.01766      | 0.01366     | 0.0            | 0.9259                 | 0.005776     | 525.85  | -22518.0010805 |
| DOTUSDT      | 0.001065      | 0.001717    | 88.4          | 0.00902      | 0.01316     | 0.0            | 0.8059                 | 0.008832     | 990.71  | -22518.0010653 |
| UNFIUSDT     | 0.001045      | 0.001369    | 77.5          | 0.01979      | 0.0199      | 0.0            | 0.8074                 | 0.0104       | 809.71  | -22518.001045  |
| MKRUSDT      | 0.001041      | 0.001459    | 92.58         | 0.01015      | 0.01309     | 0.0            | 0.8005                 | 0.00897      | 999.71  | -22518.0010413 |
| ETHUSDT      | 0.001033      | 0.001134    | 63.27         | 0.01464      | 0.01905     | 0.0            | 0.6348                 | 0.009456     | 1225.0  | -22518.0010331 |
| SUSHIUSDT    | 0.001032      | 0.001632    | 79.27         | 0.01204      | 0.01544     | 0.0            | 0.7706                 | 0.0113       | 977.71  | -22518.0010318 |
| EGLDUSDT     | 0.001031      | 0.001496    | 95.62         | 0.01061      | 0.01927     | 0.0            | 0.8276                 | 0.01156      | 967.71  | -22518.0010311 |
| OCEANUSDT    | 0.001028      | 0.001238    | 75.97         | 0.01256      | 0.01173     | 0.0            | 0.8671                 | 0.007922     | 917.71  | -22518.0010284 |
| CRVUSDT      | 0.00102       | 0.00132     | 76.27         | 0.01275      | 0.01697     | 0.0            | 0.8158                 | 0.009631     | 980.71  | -22518.0010199 |
| RLCUSDT      | 0.0009833     | 0.00105     | 78.48         | 0.01982      | 0.01848     | 0.0            | 0.8461                 | 0.008285     | 1012.71 | -22518.0009833 |
| HBARUSDT     | 0.0009767     | 0.001261    | 54.77         | 0.00585      | 0.006676    | 0.0            | 0.9167                 | 0.004178     | 783.71  | -22518.0009767 |
| ALICEUSDT    | 0.0009754     | 0.001505    | 69.95         | 0.01269      | 0.0128      | 0.0            | 0.8169                 | 0.008771     | 784.87  | -22518.0009754 |
| DEFIUSDT     | 0.000926      | 0.001257    | 76.12         | 0.01049      | 0.01488     | 0.0            | 0.8331                 | 0.009295     | 984.71  | -22518.000926  |
| DOGEUSDT     | 0.0009242     | 0.001244    | 91.32         | 0.01826      | 0.0166      | 0.0            | 0.8402                 | 0.01045      | 1033.62 | -22518.0009242 |
| COMPUSDT     | 0.0009196     | 0.001257    | 89.72         | 0.01358      | 0.01576     | 0.0            | 0.8258                 | 0.009493     | 1043.62 | -22518.0009196 |
| XMRUSDT      | 0.0009087     | 0.001295    | 91.35         | 0.01081      | 0.01694     | 0.0            | 0.6737                 | 0.009767     | 1191.66 | -22518.0009087 |
| TRXUSDT      | 0.0009054     | 0.0008717   | 79.27         | 0.0106       | 0.01295     | 0.0            | 0.8574                 | 0.005113     | 1210.66 | -22518.0009054 |
| ARUSDT       | 0.0008949     | 0.001342    | 72.35         | 0.006448     | 0.00796     | 0.0            | 0.9098                 | 0.004531     | 588.85  | -22518.0008949 |
| XRPUSDT      | 0.0008924     | 0.001449    | 88.57         | 0.01125      | 0.01126     | 0.0            | 0.8689                 | 0.006666     | 1219.65 | -22518.0008924 |
| RUNEUSDT     | 0.0008783     | 0.001274    | 85.25         | 0.01628      | 0.01546     | 0.0            | 0.8345                 | 0.009296     | 977.7   | -22518.0008783 |
| REEFUSDT     | 0.0008779     | 0.001285    | 69.18         | 0.01349      | 0.01501     | 0.0            | 0.8029                 | 0.00867      | 806.7   | -22518.0008779 |
| BANDUSDT     | 0.0008706     | 0.001083    | 81.95         | 0.0162       | 0.0141      | 0.0            | 0.9206                 | 0.004704     | 1014.71 | -22518.0008706 |
| ENJUSDT      | 0.0008622     | 0.0008966   | 60.33         | 0.01803      | 0.0176      | 0.0            | 0.8647                 | 0.006595     | 952.71  | -22518.0008622 |
| ZENUSDT      | 0.0008617     | 0.0009478   | 77.67         | 0.01978      | 0.01903     | 0.0            | 0.8646                 | 0.008708     | 896.71  | -22518.0008617 |
| LINKUSDT     | 0.0008588     | 0.001154    | 92.82         | 0.01337      | 0.01389     | 0.0            | 0.834                  | 0.008639     | 1208.66 | -22518.0008588 |
| DARUSDT      | 0.000828      | 0.001178    | 87.87         | 0.01271      | 0.01502     | 0.0            | 0.8528                 | 0.01172      | 375.85  | -22518.000828  |
| ZRXUSDT      | 0.0008274     | 0.0008444   | 71.17         | 0.01097      | 0.01488     | 0.0            | 0.8249                 | 0.007596     | 1049.62 | -22518.0008274 |
| LRCUSDT      | 0.000802      | 0.001166    | 64.45         | 0.01305      | 0.009755    | 0.0            | 0.9055                 | 0.004273     | 932.7   | -22518.000802  |
| GRTUSDT      | 0.0008016     | 0.001049    | 92.3          | 0.0194       | 0.01554     | 0.0            | 0.8851                 | 0.007226     | 871.71  | -22518.0008016 |
| ALGOUSDT     | 0.0008013     | 0.001234    | 91.18         | 0.01643      | 0.0172      | 0.0            | 0.8313                 | 0.01368      | 1057.62 | -22518.0008013 |
| MATICUSDT    | 0.0007868     | 0.001147    | 76.05         | 0.01812      | 0.01664     | 0.0            | 0.8565                 | 0.009011     | 929.71  | -22518.0007868 |
| XLMUSDT      | 0.0007734     | 0.000936    | 88.33         | 0.01535      | 0.01715     | 0.0            | 0.8038                 | 0.008457     | 1205.66 | -22518.0007734 |
| WAVESUSDT    | 0.0007689     | 0.0009636   | 94.65         | 0.01758      | 0.01592     | 0.0            | 0.8613                 | 0.007766     | 1000.71 | -22518.0007689 |
| CTSIUSDT     | 0.0007682     | 0.0009781   | 90.97         | 0.01825      | 0.01823     | 0.0            | 0.8406                 | 0.01115      | 560.85  | -22518.0007682 |
| LTCUSDT      | 0.0007624     | 0.0009679   | 90.5          | 0.01746      | 0.01917     | 0.0            | 0.8092                 | 0.01118      | 1216.66 | -22518.0007624 |
| EOSUSDT      | 0.0007589     | 0.000932    | 90.68         | 0.01439      | 0.01386     | 0.0            | 0.9036                 | 0.005914     | 1217.66 | -22518.0007589 |
| OMGUSDT      | 0.0007533     | 0.001056    | 87.22         | 0.01756      | 0.0173      | 0.0            | 0.7678                 | 0.01104      | 1041.62 | -22518.0007533 |
| API3USDT     | 0.0007472     | 0.0009004   | 88.92         | 0.01661      | 0.01402     | 0.0            | 0.9188                 | 0.007006     | 441.85  | -22518.0007472 |
| GMTUSDT      | 0.0007421     | 0.0009947   | 35.62         | 0.01203      | 0.01131     | 0.0            | 0.9596                 | 0.002058     | 420.83  | -22518.0007421 |
| C98USDT      | 0.0007398     | 0.0009334   | 94.63         | 0.01125      | 0.01282     | 0.0            | 0.8888                 | 0.008063     | 623.85  | -22518.0007398 |
| LPTUSDT      | 0.0007393     | 0.0008754   | 25.68         | 0.01933      | 0.01637     | 0.0            | 0.8787                 | 0.00681      | 544.85  | -22518.0007393 |
| SNXUSDT      | 0.0007366     | 0.0009128   | 63.77         | 0.01725      | 0.01507     | 0.0            | 0.8881                 | 0.005705     | 998.7   | -22518.0007366 |
| MTLUSDT      | 0.0007309     | 0.0009105   | 83.67         | 0.01853      | 0.01466     | 0.0            | 0.8763                 | 0.005978     | 769.71  | -22518.0007309 |
| AAVEUSDT     | 0.0007232     | 0.0009886   | 68.98         | 0.01828      | 0.01986     | 0.0            | 0.8828                 | 0.005816     | 935.71  | -22518.0007232 |
| RSRUSDT      | 0.0007168     | 0.001061    | 92.17         | 0.01152      | 0.01862     | 0.0            | 0.7923                 | 0.01051      | 932.7   | -22518.0007168 |
| ATAUSDT      | 0.000708      | 0.0009997   | 92.73         | 0.007463     | 0.0102      | 0.0            | 0.9088                 | 0.005854     | 616.85  | -22518.000708  |
| THETAUSDT    | 0.0007053     | 0.001266    | 91.47         | 0.01225      | 0.01758     | 0.0            | 0.8227                 | 0.01336      | 1077.66 | -22518.0007053 |
| GTCUSDT      | 0.0007012     | 0.0008609   | 95.6          | 0.01766      | 0.01994     | 0.0            | 0.816                  | 0.0137       | 697.85  | -22518.0007012 |
| KNCUSDT      | 0.0006921     | 0.001       | 63.1          | 0.01641      | 0.01276     | 0.0            | 0.8763                 | 0.005925     | 1051.63 | -22518.0006921 |
| XTZUSDT      | 0.000692      | 0.000739    | 87.85         | 0.0181       | 0.01684     | 0.0            | 0.8572                 | 0.005461     | 1188.66 | -22518.000692  |
| AVAXUSDT     | 0.0006863     | 0.001309    | 90.77         | 0.01313      | 0.01527     | 0.0            | 0.8685                 | 0.007155     | 958.71  | -22518.0006863 |
| 1000XECUSDT  | 0.0006831     | 0.00109     | 79.33         | 0.007334     | 0.005916    | 0.0            | 0.9443                 | 0.00349      | 599.85  | -22518.0006831 |
| BNBUSDT      | 0.0006793     | 0.0008735   | 95.45         | 0.01779      | 0.01881     | 0.0            | 0.7878                 | 0.01019      | 1184.66 | -22518.0006793 |
| NEOUSDT      | 0.000654      | 0.0007103   | 73.98         | 0.01701      | 0.01707     | 0.0            | 0.8133                 | 0.00626      | 1177.63 | -22518.000654  |
| CTKUSDT      | 0.0006538     | 0.001067    | 68.65         | 0.01137      | 0.01186     | 0.0            | 0.8489                 | 0.006685     | 901.71  | -22518.0006538 |
| FTMUSDT      | 0.0006316     | 0.0008946   | 84.15         | 0.01738      | 0.01533     | 0.0            | 0.8477                 | 0.007434     | 957.71  | -22518.0006316 |
| VETUSDT      | 0.0006234     | 0.0006842   | 89.45         | 0.01828      | 0.01811     | 0.0            | 0.8379                 | 0.005643     | 1180.66 | -22518.0006234 |
| STMXUSDT     | 0.0006074     | 0.000673    | 95.05         | 0.01896      | 0.01892     | 0.0            | 0.8336                 | 0.008347     | 778.71  | -22518.0006074 |
| ANKRUSDT     | 0.0006049     | 0.0007051   | 81.85         | 0.01912      | 0.01935     | 0.0            | 0.7944                 | 0.009158     | 833.71  | -22518.0006049 |
| SKLUSDT      | 0.0006014     | 0.0007775   | 94.87         | 0.01999      | 0.0166      | 0.0            | 0.8844                 | 0.005371     | 882.68  | -22518.0006014 |
| DGBUSDT      | 0.0005926     | 0.0007481   | 93.37         | 0.01819      | 0.01808     | 0.0            | 0.9139                 | 0.005113     | 748.85  | -22518.0005926 |
| ADAUSDT      | 0.0005917     | 0.0006409   | 94.6          | 0.01577      | 0.01535     | 0.0            | 0.9361                 | 0.003607     | 1194.66 | -22518.0005917 |
| ETCUSDT      | 0.0005891     | 0.0007984   | 75.67         | 0.01477      | 0.0137      | 0.0            | 0.8929                 | 0.00548      | 1209.66 | -22518.0005891 |
| CHRUSDT      | 0.000589      | 0.001072    | 72.57         | 0.01782      | 0.01314     | 0.0            | 0.9061                 | 0.005556     | 788.71  | -22518.000589  |
| BLZUSDT      | 0.000586      | 0.000964    | 74.78         | 0.008831     | 0.015       | 0.0            | 0.8004                 | 0.01007      | 964.7   | -22518.000586  |
| ALPHAUSDT    | 0.0005675     | 0.0007649   | 71.83         | 0.01804      | 0.01698     | 0.0            | 0.8372                 | 0.008469     | 897.71  | -22518.0005675 |
| IOSTUSDT     | 0.0005453     | 0.0006231   | 92.0          | 0.01483      | 0.01409     | 0.0            | 0.9087                 | 0.004676     | 1173.66 | -22518.0005453 |
| QTUMUSDT     | 0.0005387     | 0.0005894   | 84.8          | 0.01794      | 0.0171      | 0.0            | 0.8965                 | 0.004113     | 1174.66 | -22518.0005387 |
| KAVAUSDT     | 0.000535      | 0.0006391   | 94.9          | 0.01871      | 0.01734     | 0.0            | 0.8408                 | 0.008177     | 1015.7  | -22518.000535  |
| RVNUSDT      | 0.0005313     | 0.0008059   | 91.2          | 0.01852      | 0.01798     | 0.0            | 0.8485                 | 0.009643     | 805.71  | -22518.0005313 |
| DASHUSDT     | 0.0005293     | 0.0005598   | 85.43         | 0.01694      | 0.01826     | 0.0            | 0.795                  | 0.008482     | 1190.66 | -22518.0005293 |
| BCHUSDT      | 0.0005198     | 0.0006273   | 83.62         | 0.01444      | 0.01761     | 0.0            | 0.7448                 | 0.01095      | 1225.0  | -22518.0005198 |
| ICXUSDT      | 0.0005073     | 0.0007681   | 35.78         | 0.00909      | 0.008887    | 0.0            | 0.9074                 | 0.003547     | 966.71  | -22518.0005073 |
| ZILUSDT      | 0.0004977     | 0.0007551   | 68.03         | 0.01204      | 0.01158     | 0.0            | 0.875                  | 0.004856     | 1055.62 | -22518.0004977 |
| AUDIOUSDT    | 0.0004851     | 0.0006009   | 55.85         | 0.0185       | 0.01359     | 0.0            | 0.9074                 | 0.004816     | 628.85  | -22518.0004851 |
| BATUSDT      | 0.0004775     | 0.0005693   | 81.47         | 0.01677      | 0.01464     | 0.0            | 0.8535                 | 0.0058       | 1181.66 | -22518.0004775 |
| 1INCHUSDT    | 0.0004619     | 0.0008193   | 85.03         | 0.006886     | 0.007861    | 0.0            | 0.9345                 | 0.003307     | 865.58  | -22518.0004619 |
| NEARUSDT     | 0.00046       | 0.0008902   | 87.22         | 0.007939     | 0.0131      | 0.0            | 0.8643                 | 0.007941     | 936.66  | -22518.00046   |
| IOTXUSDT     | 0.0004408     | 0.0006401   | 88.7          | 0.01214      | 0.01322     | 0.0            | 0.8326                 | 0.009594     | 635.85  | -22518.0004408 |
| ONTUSDT      | 0.0004397     | 0.0006134   | 95.35         | 0.01832      | 0.01778     | 0.0            | 0.846                  | 0.008942     | 1183.66 | -22518.0004397 |
| TRBUSDT      | 0.0004382     | 0.0005789   | 56.77         | 0.01892      | 0.0179      | 0.0            | 0.8517                 | 0.005306     | 978.71  | -22518.0004382 |
| SANDUSDT     | 0.0004144     | 0.000634    | 43.2          | 0.01987      | 0.0159      | 0.0            | 0.8982                 | 0.005203     | 834.71  | -22518.0004144 |
| SFPUSDT      | 0.0003917     | 0.0005453   | 74.52         | 0.01723      | 0.01514     | 0.0            | 0.8902                 | 0.005427     | 804.71  | -22518.0003917 |
| YFIUSDT      | 0.0003906     | 0.0009006   | 77.8          | 0.01534      | 0.01306     | 0.0            | 0.9073                 | 0.004128     | 981.71  | -22518.0003906 |
| FILUSDT      | 0.0003876     | 0.0004701   | 26.47         | 0.01489      | 0.01238     | 0.0            | 0.932                  | 0.002247     | 935.75  | -22518.0003876 |
| BTCDOMUSDT   | 0.0003681     | 0.0003819   | 52.0          | 0.0112       | 0.01089     | 0.0            | 0.9669                 | 0.004715     | 687.85  | -22518.0003681 |
| BTCUSDT      | 0.0003645     | 0.0005263   | 84.17         | 0.01213      | 0.01235     | 0.0            | 0.8765                 | 0.005228     | 1225.0  | -22518.0003645 |
| IOTAUSDT     | 0.000356      | 0.0004876   | 70.73         | 0.01923      | 0.01625     | 0.0            | 0.8804                 | 0.004384     | 1182.66 | -22518.000356  |
| LITUSDT      | 0.0003051     | 0.0003875   | 95.32         | 0.01997      | 0.01789     | 0.0            | 0.9101                 | 0.004753     | 810.71  | -22518.0003051 |
| BALUSDT      | 0.000243      | 0.0004489   | 68.45         | 0.01108      | 0.008948    | 0.0            | 0.9306                 | 0.002717     | 980.71  | -22518.000243  |
| FLMUSDT      | 0.0002132     | 0.0003509   | 42.5          | 0.02008      | 0.01595     | 0.0            | 0.9215                 | 0.003151     | 952.71  | -22517.9925486 |
| MASKUSDT     | 0.0003499     | 0.0004344   | 44.48         | 0.02067      | 0.0162      | 0.0            | 0.9014                 | 0.004672     | 620.85  | -22517.9334327 |
| KSMUSDT      | 0.0002276     | 0.0005073   | 45.13         | 0.02865      | 0.02375     | 0.0            | 0.9183                 | 0.003903     | 937.71  | -22513.3870838 |
| OGNUSDT      | 0.0001062     | 0.0001895   | 94.07         | 0.03478      | 0.02669     | 0.0            | 0.8254                 | 0.008104     | 768.71  | -22509.8312604 |
| STORJUSDT    | 0.0003015     | 0.0004022   | 87.9          | 0.0325       | 0.02713     | 0.0            | 0.9023                 | 0.008579     | 965.7   | -22509.6186946 |
| ONEUSDT      | 0.0006042     | 0.0008246   | 100.4         | 0.01951      | 0.0161      | 0.0            | 0.832                  | 0.008588     | 782.71  | -22474.1672709 |
| XEMUSDT      | 0.0003836     | 0.00049     | 188.1         | 0.01158      | 0.01291     | 0.0            | 0.8463                 | 0.0107       | 797.71  | -21597.0003836 |
| BAKEUSDT     | 0.0003888     | 0.0004789   | 229.7         | 0.02346      | 0.02389     | 0.0            | 0.7669                 | 0.01575      | 720.71  | -21177.2625398 |
| LINAUSDT     | 2.221e-06     | 2.221e-05   | 0.05          | 13.61        | 10.83       | 0.0            | 0.03334                | 0.1522       | 781.71  | 163489.641553  |
| UNIUSDT      | 0.0002014     | 0.002014    | 2877.0        | 3.328        | 2.732       | 0.0            | 0.0868                 | 0.2554       | 963.71  | 280079.130292  |
| KLAYUSDT     | 4.498e-05     | 0.0004498   | 286.7         | 4.899        | 3.698       | 0.0            | 0.07707                | 0.2803       | 574.85  | 281186.170026  |
| SXPUSDT      | 8.764e-05     | 0.0008764   | 5630.0        | 7.322        | 7.572       | 0.0            | 0.04363                | 0.2234       | 1022.62 | 285140.113589  |
| SOLUSDT      | 0.0003999     | 0.003999    | 2785.0        | 4.164        | 5.421       | 0.0            | 0.04406                | 0.3118       | 967.71  | 342628.17339   |
| AXSUSDT      | 0.0005265     | 0.005265    | 1640.0        | 6.537        | 7.7         | 0.0            | 0.04545                | 0.3299       | 900.7   | 351582.670241  |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    short                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| GALUSDT      | 0.004245      | 0.005048    | 91.12         | 0.01384      | 0.01449     | 0.0            | 0.8386                 | 0.01434      | 369.41  | -22518.0042455 |
| JASMYUSDT    | 0.004014      | 0.003808    | 80.17         | 0.01019      | 0.01143     | 0.0            | 0.8611                 | 0.01031      | 384.85  | -22518.0040139 |
| IMXUSDT      | 0.003186      | 0.00336     | 88.7          | 0.01742      | 0.01793     | 0.0            | 0.8834                 | 0.01009      | 452.85  | -22518.0031862 |
| DARUSDT      | 0.00309       | 0.003889    | 91.45         | 0.01152      | 0.01269     | 0.0            | 0.7952                 | 0.01285      | 375.85  | -22518.00309   |
| ENSUSDT      | 0.002726      | 0.002762    | 92.72         | 0.01715      | 0.0158      | 0.0            | 0.8904                 | 0.01224      | 525.85  | -22518.0027263 |
| ANKRUSDT     | 0.002644      | 0.003344    | 71.48         | 0.01205      | 0.01579     | 0.0            | 0.7635                 | 0.01454      | 833.71  | -22518.0026443 |
| DUSKUSDT     | 0.002528      | 0.002624    | 81.48         | 0.01613      | 0.01646     | 0.0            | 0.8478                 | 0.01045      | 487.85  | -22518.0025277 |
| CTKUSDT      | 0.002514      | 0.002138    | 81.22         | 0.01757      | 0.01757     | 0.0            | 0.8636                 | 0.008644     | 901.71  | -22518.0025138 |
| WOOUSDT      | 0.002492      | 0.002127    | 73.98         | 0.01094      | 0.01126     | 0.0            | 0.9096                 | 0.00747      | 396.85  | -22518.0024924 |
| ATAUSDT      | 0.002444      | 0.003141    | 85.97         | 0.009851     | 0.01357     | 0.0            | 0.8024                 | 0.01362      | 616.85  | -22518.0024436 |
| ARUSDT       | 0.002371      | 0.002315    | 80.08         | 0.01924      | 0.01784     | 0.0            | 0.828                  | 0.01268      | 588.85  | -22518.002371  |
| ANTUSDT      | 0.002302      | 0.002261    | 94.5          | 0.01053      | 0.01208     | 0.0            | 0.8549                 | 0.009896     | 498.83  | -22518.0023018 |
| LINAUSDT     | 0.002283      | 0.001891    | 94.12         | 0.01949      | 0.01849     | 0.0            | 0.765                  | 0.01508      | 781.71  | -22518.0022833 |
| CELOUSDT     | 0.002254      | 0.002476    | 70.47         | 0.01519      | 0.01856     | 0.0            | 0.7243                 | 0.01441      | 589.85  | -22518.0022542 |
| OCEANUSDT    | 0.002241      | 0.002306    | 87.62         | 0.01751      | 0.01638     | 0.0            | 0.8304                 | 0.01037      | 917.71  | -22518.0022405 |
| CTSIUSDT     | 0.002217      | 0.002147    | 90.42         | 0.01343      | 0.01264     | 0.0            | 0.8496                 | 0.01114      | 560.85  | -22518.002217  |
| CHRUSDT      | 0.002217      | 0.002281    | 94.85         | 0.01856      | 0.01998     | 0.0            | 0.7346                 | 0.01612      | 788.71  | -22518.002217  |
| LPTUSDT      | 0.002207      | 0.002015    | 89.5          | 0.01948      | 0.01824     | 0.0            | 0.8201                 | 0.01176      | 544.85  | -22518.0022071 |
| C98USDT      | 0.002184      | 0.001902    | 79.55         | 0.01916      | 0.01901     | 0.0            | 0.8407                 | 0.01271      | 623.85  | -22518.002184  |
| FLOWUSDT     | 0.002184      | 0.002193    | 68.1          | 0.01139      | 0.01133     | 0.0            | 0.906                  | 0.007627     | 453.85  | -22518.0021839 |
| 1000XECUSDT  | 0.002173      | 0.002249    | 90.02         | 0.01081      | 0.01238     | 0.0            | 0.8389                 | 0.01059      | 599.85  | -22518.0021729 |
| OGNUSDT      | 0.002167      | 0.002451    | 92.03         | 0.01374      | 0.01569     | 0.0            | 0.7719                 | 0.01251      | 768.71  | -22518.0021671 |
| PEOPLEUSDT   | 0.002139      | 0.001917    | 29.48         | 0.01703      | 0.01994     | 0.0            | 0.7743                 | 0.01136      | 501.83  | -22518.0021388 |
| GTCUSDT      | 0.002115      | 0.002076    | 80.02         | 0.01871      | 0.01999     | 0.0            | 0.6458                 | 0.01813      | 697.85  | -22518.0021153 |
| AUDIOUSDT    | 0.002105      | 0.001941    | 86.5          | 0.01677      | 0.01801     | 0.0            | 0.8018                 | 0.01081      | 628.85  | -22518.0021054 |
| BLZUSDT      | 0.002086      | 0.001989    | 82.15         | 0.01912      | 0.01903     | 0.0            | 0.5573                 | 0.01416      | 964.7   | -22518.0020859 |
| DYDXUSDT     | 0.002052      | 0.001919    | 95.03         | 0.01111      | 0.01312     | 0.0            | 0.8468                 | 0.01083      | 606.85  | -22518.0020521 |
| 1000SHIBUSDT | 0.002017      | 0.002245    | 84.55         | 0.008947     | 0.01099     | 0.0            | 0.8319                 | 0.008954     | 729.26  | -22518.0020174 |
| ARPAUSDT     | 0.001993      | 0.001996    | 76.32         | 0.009561     | 0.01345     | 0.0            | 0.6716                 | 0.01492      | 567.85  | -22518.0019931 |
| GALAUSDT     | 0.001978      | 0.001794    | 39.8          | 0.01447      | 0.0185      | 0.0            | 0.8523                 | 0.0064       | 598.85  | -22518.0019778 |
