
# Note: coins with less than ~730 days worth of price history are not optimized on their own,
# but instead the best config from among the coins with longer price history is selected.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+--------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| C98USDT      | 0.001354      | 0.002092    | 0.05688      | 78.27         | 0.01482      | 0.0119      | 0.05637        | 0.8825                 | 0.00583      | 641.83  | -230179.251354 |
| ARBUSDT      | 0.00135       | 0.003293    | 0.05874      | 54.18         | 0.005758     | 0.005256    | 0.0            | 0.9692                 | 0.003214     | 65.33   | -230179.25135  |
| CELRUSDT     | 0.00134       | 0.002526    | 0.0701       | 86.82         | 0.01601      | 0.01786     | 0.04232        | 0.7449                 | 0.01354      | 789.67  | -230179.25134  |
| RSRUSDT      | 0.001319      | 0.001654    | 0.02698      | 87.9          | 0.01477      | 0.01466     | 0.02916        | 0.8278                 | 0.007469     | 950.67  | -230179.251319 |
| MINAUSDT     | 0.001317      | 0.00301     | 0.0685       | 59.37         | 0.009446     | 0.008551    | 0.02579        | 0.9485                 | 0.00558      | 109.5   | -230179.251317 |
| ALICEUSDT    | 0.001305      | 0.00265     | 0.06817      | 81.58         | 0.01272      | 0.01972     | 0.06877        | 0.776                  | 0.013        | 802.83  | -230179.251305 |
| SUSHIUSDT    | 0.001292      | 0.002636    | 0.04784      | 72.92         | 0.01193      | 0.01103     | 0.03389        | 0.8859                 | 0.006964     | 995.67  | -230179.251292 |
| DENTUSDT     | 0.001288      | 0.002452    | 0.06774      | 75.02         | 0.01049      | 0.01669     | 0.05454        | 0.7313                 | 0.01027      | 794.79  | -230179.251288 |
| THETAUSDT    | 0.001284      | 0.002544    | 0.06809      | 66.67         | 0.01069      | 0.01259     | 0.04548        | 0.7627                 | 0.009912     | 1095.62 | -230179.251284 |
| REEFUSDT     | 0.001282      | 0.002268    | 0.05732      | 74.9          | 0.01471      | 0.01583     | 0.02338        | 0.8017                 | 0.0115       | 824.67  | -230179.251282 |
| BELUSDT      | 0.001271      | 0.001956    | 0.07174      | 76.57         | 0.01531      | 0.01642     | 0.06471        | 0.7854                 | 0.01248      | 920.67  | -230179.251271 |
| SNXUSDT      | 0.001269      | 0.002026    | 0.07495      | 81.7          | 0.01336      | 0.01178     | 0.04217        | 0.8543                 | 0.008815     | 1016.67 | -230179.251269 |
| AVAXUSDT     | 0.00126       | 0.00243     | 0.02486      | 72.68         | 0.006534     | 0.009934    | 0.04093        | 0.8624                 | 0.005771     | 976.67  | -230179.25126  |
| COCOSUSDT    | 0.001257      | 0.001923    | 0.07212      | 53.27         | 0.01145      | 0.01058     | 0.01457        | 0.9413                 | 0.007258     | 95.38   | -230179.251257 |
| ALPHAUSDT    | 0.001256      | 0.002399    | 0.04895      | 92.72         | 0.01439      | 0.01752     | 0.05185        | 0.7464                 | 0.009838     | 915.67  | -230179.251256 |
| ENJUSDT      | 0.001238      | 0.002436    | 0.05279      | 69.38         | 0.01098      | 0.01419     | 0.03475        | 0.8513                 | 0.008983     | 970.67  | -230179.251238 |
| CKBUSDT      | 0.001232      | 0.001736    | 0.05952      | 81.83         | 0.01572      | 0.01183     | 0.03795        | 0.953                  | 0.004868     | 88.46   | -230179.251232 |
| LUNA2USDT    | 0.001203      | 0.001699    | 0.02756      | 72.27         | 0.008838     | 0.009657    | 0.06523        | 0.9157                 | 0.004494     | 259.83  | -230179.251203 |
| LITUSDT      | 0.001194      | 0.001974    | 0.0425       | 77.88         | 0.01309      | 0.01347     | 0.05374        | 0.8371                 | 0.008339     | 828.67  | -230179.251194 |
| TUSDT        | 0.001184      | 0.002139    | 0.05694      | 96.0          | 0.009421     | 0.008019    | 0.0            | 0.9598                 | 0.003318     | 115.42  | -230179.251184 |
| TOMOUSDT     | 0.001173      | 0.001861    | 0.0577       | 92.17         | 0.01373      | 0.01582     | 0.05646        | 0.8206                 | 0.009269     | 957.67  | -230179.251173 |
| UNFIUSDT     | 0.00116       | 0.002008    | 0.07184      | 87.0          | 0.01709      | 0.01687     | 0.05065        | 0.8142                 | 0.01066      | 827.67  | -230179.25116  |
| ETCUSDT      | 0.001135      | 0.001759    | 0.03828      | 70.5          | 0.006428     | 0.01893     | 0.07929        | 0.6627                 | 0.01101      | 1227.62 | -230179.251135 |
| OMGUSDT      | 0.001093      | 0.001932    | 0.06887      | 82.98         | 0.01343      | 0.01589     | 0.07134        | 0.7751                 | 0.009289     | 1059.58 | -230179.251093 |
| CTKUSDT      | 0.001092      | 0.003413    | 0.04023      | 83.55         | 0.008777     | 0.00888     | 0.05763        | 0.878                  | 0.005776     | 919.67  | -230179.251092 |
