+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                     long                                                                                    |
+--------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol       | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| CHRUSDT      | 0.001143      | 0.002359    | 83.12         | 0.01566      | 0.01661     | 0.0791         | 0.8307                 | 0.009174     | 783.71  | -22518.0011433 |
| ATOMUSDT     | 0.001139      | 0.001961    | 93.13         | 0.009844     | 0.01808     | 0.1262         | 0.6347                 | 0.01205      | 1182.5  | -22518.001139  |
| FLOWUSDT     | 0.001139      | 0.001768    | 88.73         | 0.01123      | 0.01055     | 0.0195         | 0.9023                 | 0.004665     | 448.88  | -22518.0011389 |
| ICXUSDT      | 0.001138      | 0.00185     | 52.88         | 0.01061      | 0.01658     | 0.06898        | 0.8005                 | 0.01059      | 960.71  | -22518.0011376 |
| XRPUSDT      | 0.00113       | 0.002032    | 77.4          | 0.004576     | 0.01237     | 0.07308        | 0.7271                 | 0.007354     | 1213.67 | -22518.0011304 |
| DEFIUSDT     | 0.001119      | 0.001597    | 71.83         | 0.009583     | 0.01335     | 0.08296        | 0.8256                 | 0.008135     | 979.71  | -22518.0011194 |
| RSRUSDT      | 0.001118      | 0.001803    | 86.83         | 0.01397      | 0.01526     | 0.04724        | 0.8064                 | 0.009784     | 927.71  | -22518.0011182 |
| ALGOUSDT     | 0.001117      | 0.002305    | 71.53         | 0.0116       | 0.01074     | 0.1079         | 0.9232                 | 0.003376     | 1052.62 | -22518.001117  |
| SNXUSDT      | 0.001105      | 0.001742    | 89.83         | 0.01194      | 0.01376     | 0.08915        | 0.868                  | 0.007386     | 993.71  | -22518.0011048 |
| FTMUSDT      | 0.001095      | 0.001837    | 64.05         | 0.01215      | 0.01932     | 0.09296        | 0.7144                 | 0.0117       | 952.71  | -22518.0010946 |
| RLCUSDT      | 0.001086      | 0.001704    | 62.23         | 0.01678      | 0.01885     | 0.0987         | 0.7778                 | 0.01338      | 1007.71 | -22518.0010864 |
| UNFIUSDT     | 0.001084      | 0.00144     | 87.35         | 0.01907      | 0.01804     | 0.1396         | 0.8709                 | 0.007084     | 804.71  | -22518.0010835 |
| ONEUSDT      | 0.001074      | 0.001815    | 71.88         | 0.01405      | 0.01688     | 0.1499         | 0.8197                 | 0.009534     | 777.71  | -22518.0010739 |
| DENTUSDT     | 0.001044      | 0.00213     | 95.77         | 0.01398      | 0.0199      | 0.1145         | 0.7523                 | 0.01479      | 770.83  | -22518.001044  |
| BELUSDT      | 0.001037      | 0.001634    | 58.82         | 0.0141       | 0.01982     | 0.08724        | 0.7865                 | 0.01122      | 897.71  | -22518.0010372 |
| EGLDUSDT     | 0.001028      | 0.002225    | 71.18         | 0.01064      | 0.01086     | 0.09148        | 0.8717                 | 0.006503     | 961.71  | -22518.0010279 |
| ENJUSDT      | 0.001027      | 0.001996    | 93.28         | 0.01506      | 0.0151      | 0.0334         | 0.8133                 | 0.007908     | 947.71  | -22518.0010274 |
| DGBUSDT      | 0.001027      | 0.001601    | 70.07         | 0.01195      | 0.01942     | 0.1362         | 0.7686                 | 0.01109      | 743.88  | -22518.0010269 |
| UNIUSDT      | 0.001018      | 0.002126    | 83.08         | 0.01394      | 0.01649     | 0.08554        | 0.8072                 | 0.01279      | 958.71  | -22518.0010181 |
| FILUSDT      | 0.0009749     | 0.001214    | 85.12         | 0.01002      | 0.01903     | 0.13           | 0.8381                 | 0.009408     | 930.75  | -22518.0009749 |
| WAVESUSDT    | 0.0009718     | 0.001337    | 66.53         | 0.012        | 0.01519     | 0.06906        | 0.8727                 | 0.005283     | 995.71  | -22518.0009718 |
| GALUSDT      | 0.0009686     | 0.001638    | 68.53         | 0.0149       | 0.01196     | 0.1474         | 0.924                  | 0.004431     | 364.42  | -22518.0009686 |
| ZENUSDT      | 0.0009267     | 0.002017    | 86.83         | 0.01744      | 0.01669     | 0.07337        | 0.8819                 | 0.006867     | 891.71  | -22518.0009267 |
| XLMUSDT      | 0.0009189     | 0.001847    | 73.67         | 0.007661     | 0.01244     | 0.1092         | 0.7552                 | 0.006602     | 1200.67 | -22518.0009189 |
| ZILUSDT      | 0.0009113     | 0.001364    | 69.62         | 0.01128      | 0.01742     | 0.0902         | 0.794                  | 0.01141      | 1050.62 | -22518.0009113 |
| ETCUSDT      | 0.0009107     | 0.001622    | 78.77         | 0.008958     | 0.01739     | 0.07466        | 0.7102                 | 0.009272     | 1204.67 | -22518.0009107 |
| EOSUSDT      | 0.0009061     | 0.001201    | 89.07         | 0.008757     | 0.01218     | 0.1116         | 0.7761                 | 0.00602      | 1212.67 | -22518.0009061 |
| 1000XECUSDT  | 0.0008909     | 0.001434    | 81.88         | 0.005909     | 0.009309    | 0.1403         | 0.8606                 | 0.005701     | 594.88  | -22518.0008909 |
| XTZUSDT      | 0.0008785     | 0.001867    | 70.25         | 0.008866     | 0.01302     | 0.05464        | 0.8121                 | 0.007745     | 1183.67 | -22518.0008785 |
| MTLUSDT      | 0.0008765     | 0.001408    | 82.92         | 0.01384      | 0.01623     | 0.04059        | 0.8291                 | 0.009091     | 764.71  | -22518.0008765 |
| RUNEUSDT     | 0.0008696     | 0.002595    | 71.87         | 0.01159      | 0.01791     | 0.06174        | 0.8023                 | 0.01185      | 972.71  | -22518.0008696 |
| COMPUSDT     | 0.0008694     | 0.001415    | 81.88         | 0.01066      | 0.01144     | 0.05734        | 0.8708                 | 0.005615     | 1038.62 | -22518.0008694 |
| LINAUSDT     | 0.000841      | 0.001307    | 90.48         | 0.0194       | 0.01776     | 0.08893        | 0.8807                 | 0.007285     | 775.71  | -22518.000841  |
| LPTUSDT      | 0.0008332     | 0.001027    | 76.38         | 0.01422      | 0.01645     | 0.03662        | 0.8669                 | 0.009053     | 539.88  | -22518.0008332 |
| GTCUSDT      | 0.0008324     | 0.001172    | 90.68         | 0.01946      | 0.01711     | 0.03263        | 0.9109                 | 0.005725     | 692.88  | -22518.0008324 |
| RENUSDT      | 0.0008317     | 0.001127    | 52.27         | 0.01196      | 0.01521     | 0.05701        | 0.79                   | 0.0101       | 933.71  | -22518.0008317 |
| ROSEUSDT     | 0.0008195     | 0.001142    | 79.58         | 0.009074     | 0.01325     | 0.0732         | 0.8396                 | 0.008162     | 489.88  | -22518.0008195 |
| SXPUSDT      | 0.0008154     | 0.002755    | 80.07         | 0.01288      | 0.01264     | 0.08951        | 0.895                  | 0.003608     | 1017.62 | -22518.0008154 |
| IOSTUSDT     | 0.0008103     | 0.001262    | 90.83         | 0.01287      | 0.01347     | 0.112          | 0.8418                 | 0.006401     | 1168.67 | -22518.0008103 |
| AAVEUSDT     | 0.00079       | 0.002115    | 82.22         | 0.01308      | 0.01531     | 0.05277        | 0.851                  | 0.008904     | 930.71  | -22518.00079   |
| 1INCHUSDT    | 0.0007734     | 0.001732    | 91.58         | 0.01523      | 0.01864     | 0.06406        | 0.8074                 | 0.01204      | 860.58  | -22518.0007734 |
| LTCUSDT      | 0.0007564     | 0.001284    | 79.18         | 0.009669     | 0.01184     | 0.06353        | 0.7479                 | 0.007506     | 1210.67 | -22518.0007564 |
| DARUSDT      | 0.0007562     | 0.001456    | 45.88         | 0.007439     | 0.007955    | 0.07817        | 0.9223                 | 0.003532     | 370.88  | -22518.0007562 |
| KSMUSDT      | 0.0007305     | 0.001506    | 75.05         | 0.01055      | 0.01004     | 0.09011        | 0.9154                 | 0.003874     | 932.71  | -22518.0007305 |
| XEMUSDT      | 0.00073       | 0.001214    | 89.37         | 0.01223      | 0.0163      | 0.09269        | 0.787                  | 0.009435     | 792.71  | -22518.00073   |
| GMTUSDT      | 0.0007279     | 0.00116     | 55.52         | 0.01115      | 0.01759     | 0.1124         | 0.8415                 | 0.009831     | 415.83  | -22518.0007279 |
| BALUSDT      | 0.0007177     | 0.001308    | 89.82         | 0.01161      | 0.01231     | 0.1304         | 0.8534                 | 0.005256     | 975.71  | -22518.0007177 |
| XMRUSDT      | 0.000703      | 0.001103    | 91.53         | 0.01043      | 0.01631     | 0.1358         | 0.7143                 | 0.008466     | 1186.67 | -22518.000703  |
| ZECUSDT      | 0.0006872     | 0.001142    | 85.0          | 0.009982     | 0.01171     | 0.09953        | 0.7763                 | 0.006598     | 1184.67 | -22518.0006872 |
| ZRXUSDT      | 0.0006766     | 0.001031    | 71.83         | 0.01017      | 0.015       | 0.1145         | 0.7973                 | 0.00902      | 1044.62 | -22518.0006766 |
| STMXUSDT     | 0.0006557     | 0.001125    | 92.57         | 0.01462      | 0.01924     | 0.1182         | 0.8037                 | 0.01265      | 773.71  | -22518.0006557 |
| OGNUSDT      | 0.0006555     | 0.001376    | 77.9          | 0.01494      | 0.01872     | 0.07321        | 0.7913                 | 0.01052      | 762.71  | -22518.0006555 |
