trade_id,price,side,pos_side,type,qty,pnl,fee_paid,long_pos_size,long_pos_price,shrt_pos_size,shrt_pos_price,liq_diff,equity,pnl_plus_fees_cumsum,loss_cumsum,profit_cumsum,fee_paid_cumsum,balance,liq_price,timestamp,progress,drawdown,gain,n_days,average_daily_gain,hours_since_long_pos_change,hours_since_shrt_pos_change,hours_since_pos_change_max
812548,1780.8,buy,long,entry,1415419.0,0.0,0.19870549752920036,1415419.0,1780.8,0.0,,,144.9211031340129,44.94342019115493,0.0,41.493952520239326,3.4494676709156162,144.94342019115496,1547.375758567252,1615440945015.0,0.2173316354382899,0.00015399452984720763,1.449211031340129,6.925856539351852,1.0550310176231636,0.0,0.0,0.0
846976,1792.2,sel,long,close,-1415419.0,5.055780988355999,0.19744155228211135,0.0,,0.0,,0.13662951119137845,150.19664273179308,50.19664273179304,0.0,46.549733508595324,3.646909223197728,150.19664273179308,,1615466962538.0,0.22654006810303023,0.0,1.5019664273179307,7.226985277777778,1.0578997765605205,0.0,0.0,0.0
945883,1784.25,buy,long,entry,1471577.0,0.0,0.20618985568165898,1471577.0,1784.25,0.0,,,150.37971972393012,50.4028325874747,0.0,46.549733508595324,3.853099078879387,150.40283258747473,1550.3734826674258,1615533911453.0,0.25299465302145346,0.0001536966792267082,1.5037971972393012,8.001856979166666,1.0523095672441218,0.0,0.0,0.0
946233,1795.7,sel,long,close,-1471577.0,5.2589493736258275,0.2048751183382525,0.0,,0.0,,0.13664291651542484,155.86665707943882,55.86665707943878,0.0,51.80868288222115,4.057974197217639,155.86665707943882,,1615534058358.0,0.2530882672724311,0.0,1.5586665707943883,8.003557268518518,1.0570205816980065,0.0,0.0,0.0
948818,1783.1,buy,long,entry,1526146.0,0.0,0.21397369749312994,1526146.0,1783.1,0.0,,,156.03262770402267,56.08063077693191,0.0,51.80868288222115,4.271947894710769,156.08063077693194,1549.3742796765598,1615536314138.0,0.2537796753832233,0.000307647660720835,1.5603262770402266,8.029665833333333,1.056970089824815,0.0,0.0,0.0
951869,1794.5,sel,long,close,-1526146.0,5.437280917072529,0.21261437726386181,0.0,,0.0,,0.136622395766872,161.73052607126834,61.7305260712683,0.0,57.245963799293676,4.484562271974632,161.73052607126834,,1615538027417.0,0.25459572418246007,0.0,1.6173052607126834,8.04949545138889,1.0615452712383615,0.0,0.0,0.0
956930,1780.25,buy,long,entry,1581030.0,0.0,0.22202359219210785,1581030.0,1780.25,0.0,,,161.92760599508705,61.95254966346041,0.0,57.245963799293676,4.7065858641667395,161.95254966346045,1546.8978277230667,1615542424701.0,0.25594938625159713,0.00015404209936972034,1.6192760599508704,8.10038994212963,1.0613065433256252,0.0,0.0,0.0
1059718,1791.65,sel,long,close,-1581030.0,5.65081115394212,0.22061088940362233,0.0,,0.0,,0.1366312285968261,167.8239717068062,67.82397170680615,0.0,62.8967749532358,4.927196753570362,167.8239717068062,,1615622380382.0,0.2834420194787184,0.0,1.6782397170680619,9.025802916666667,1.0590399755513742,0.0,0.0,0.0
1193968,1865.2,buy,long,entry,1718884.0,0.0,0.23038869826292085,1718884.0,1865.2,0.0,,,168.02965582921584,68.05436040506908,0.0,62.8967749532358,5.157585451833283,168.0543604050691,1620.7127544568916,1615720182241.0,0.31934977146086646,0.00014702509346548406,1.6802965582921585,10.157768877314815,1.0524186311450126,0.0,0.0,0.0
1199991,1877.15,sel,long,close,-1718884.0,5.8666487904364075,0.22892203606531178,0.0,,0.0,,0.13663288170845325,174.14993123157083,74.14993123157079,0.0,68.7634237436722,5.386507487898594,174.14993123157083,,1615722558514.0,0.32096073898554783,0.0,1.7414993123157083,10.185272037037038,1.0559760945642598,0.0,0.0,0.0
1206400,1860.35,buy,long,entry,1779038.0,0.0,0.23907302389335341,1779038.0,1860.35,0.0,,,174.3633016242873,74.38900425546414,0.0,68.7634237436722,5.625580511791948,174.3890042554642,1616.4985379723846,1615728942101.0,0.3226749496555932,0.00014740849099245342,1.7436330162428728,10.259156145833334,1.0556879627626066,0.0,0.0,0.0
1207584,1872.25,sel,long,close,-1779038.0,6.07818183326144,0.23755347843503805,0.0,,0.0,,0.1366241852414759,180.70473956716066,80.70473956716063,0.0,74.84160557693365,5.863133990226986,180.70473956716066,,1615729688920.0,0.3229916332931862,0.0,1.8070473956716067,10.26779988425926,1.0593189431642223,0.0,0.0,0.0
1213109,1858.15,buy,long,entry,1843815.0,0.0,0.2480713343917337,1843815.0,1858.15,0.0,,,180.92610928867984,80.95281090155237,0.0,74.84160557693365,6.1112053246187195,180.9528109015524,1614.5867760516082,1615734805797.0,0.3244694011121908,0.00014758297173103415,1.8092610928867985,10.327022997685186,1.0590944746207616,0.0,0.0,0.0
1221123,1870.05,sel,long,close,-1843815.0,6.3143742237087475,0.24649274083580652,0.0,,0.0,,0.13663078121404829,187.51367786609694,87.51367786609693,0.0,81.1559798006424,6.357698065454526,187.51367786609694,,1615738861314.0,0.32661289999029086,0.0,1.8751367786609694,10.373961851851853,1.0624758385399493,0.0,0.0,0.0
1222581,1852.6,buy,long,entry,1907576.0,0.0,0.25741876281982085,1907576.0,1852.6,0.0,,,187.7433058796447,87.77109662891675,0.0,81.1559798006424,6.615116828274347,187.77109662891675,1609.7643823901421,1615739727300.0,0.32700287021293495,0.00014802524724827568,1.8774330587964472,10.383984837962963,1.0625389129732599,0.0,0.0,0.0
1226714,1864.45,sel,long,close,-1907576.0,6.544369308728991,0.2557826704926386,0.0,,0.0,,0.13662409096801173,194.57124860813838,94.57124860813838,0.0,87.70034910937139,6.870899498766986,194.57124860813838,,1615742788674.0,0.328108320782337,0.0,1.9457124860813837,10.419417407407407,1.065968142269539,0.0,0.0,0.0
1251484,1849.3,buy,long,entry,1975846.0,0.0,0.26710728383712756,1975846.0,1849.3,0.0,,,194.8094677174358,94.83835589197551,0.0,87.70034910937139,7.138006782604113,194.8383558919755,1606.896834582443,1615766341925.0,0.3347335350586707,0.00014828937668267395,1.9480946771743581,10.692024479166667,1.0643551120092793,0.0,0.0,0.0
1254450,1861.15,sel,long,close,-1975846.0,6.802721572081764,0.26540660344410716,0.0,,0.0,,0.13663398098944607,201.90648406750137,101.90648406750138,0.0,94.50307068145315,7.40341338604822,201.90648406750137,,1615766852204.0,0.3355268489683843,0.0,2.019064840675014,10.697930486111112,1.0678843782794614,0.0,0.0,0.0
1273252,1847.8,buy,long,entry,2048672.0,0.0,0.27717718367788724,2048672.0,1847.8,0.0,,,202.12365644873785,102.18366125117927,0.0,94.50307068145315,7.680590569726107,202.18366125117925,1605.593537598963,1615787813870.0,0.3405558065309046,0.00029687174423651013,2.0212365644873787,10.940542361111111,1.0664349480888147,0.0,0.0,0.0
1714431,1859.65,sel,long,close,-2048672.0,7.064876996387589,0.2754109644287904,0.0,,0.0,,0.13663841608917413,209.5239492119956,109.52394921199566,0.0,101.56794767784075,7.956001534154897,209.5239492119956,,1616245539575.0,0.45855763976540803,0.0,2.095239492119956,16.238293576388887,1.046604209417356,0.0,0.0,0.0
1743338,1802.3,buy,long,entry,2073614.0,0.0,0.2876344115851967,2073614.0,1802.3,0.0,,,209.74774289301035,109.81158362358086,0.0,101.56794767784075,8.243635945740094,209.81158362358082,1566.0575766564502,1616284330030.0,0.4662893744882978,0.000304369094465184,2.0974774289301035,16.687257175925925,1.0453892290141271,0.0,0.0,0.0
1747679,1813.85,sel,long,close,-2073614.0,7.326245177515308,0.2858028502908179,0.0,,0.0,,0.13663510851951588,217.42363165138696,117.42363165138698,0.0,108.89419285535605,8.529438796030911,217.42363165138696,,1616286213851.0,0.4674504586697094,0.0,2.1742363165138694,16.709060659722223,1.0475796567289144,0.0,0.0,0.0
1749548,1799.15,buy,long,entry,2148035.0,0.0,0.29847914292860517,2148035.0,1799.15,0.0,,,217.6889298546313,117.72211079431558,0.0,108.89419285535605,8.827917938959516,217.72211079431557,1563.3205145295096,1616288579342.0,0.46795035876993013,0.00015242364279348017,2.176889298546313,16.736439027777777,1.0475763289161535,0.0,0.0,0.0
1750678,1810.65,sel,long,close,-2148035.0,7.582934622768476,0.296583409272913,0.0,,0.0,,0.13662091206190446,225.60162882635694,125.60162882635697,0.0,116.47712747812453,9.124501348232428,225.60162882635694,,1616289756329.0,0.46825259906594374,0.0,2.2560162882635693,16.7500615625,1.0497719906790421,0.0,0.0,0.0
1751518,1798.25,buy,long,entry,2227714.0,0.0,0.30970582510774364,2227714.0,1798.25,0.0,,,225.8768884469149,125.91133465146471,0.0,116.47712747812453,9.434207173340171,225.9113346514647,1562.5384278270312,1616291533052.0,0.46847727326829014,0.00015249990730189437,2.258768884469149,16.77062548611111,1.049785794328223,0.0,0.0,0.0
1798020,1809.75,sel,long,close,-2227714.0,7.872064072361466,0.30773780908965326,0.0,,0.0,,0.13662369995191112,234.0911365329158,134.09113653291584,0.0,124.349191550486,9.741944982429825,234.0911365329158,,1616363416986.0,0.4809151301224715,0.0,2.3409113653291582,17.602615462962962,1.0495053672829855,0.0,0.0,0.0
1805615,1770.5,buy,long,entry,2275873.0,0.0,0.321360208980514,2275873.0,1770.5,0.0,,,234.37619408336542,134.41249674189635,0.0,124.349191550486,10.063305191410338,234.41249674189632,1538.4258442230985,1616373401360.0,0.4829465593686869,0.00015489055393564234,2.3437619408336543,17.71817534722222,1.0492467419695115,0.0,0.0,0.0
1813033,1781.85,sel,long,close,-2275873.0,8.187980743449458,0.31931321379465166,0.0,,0.0,,0.1366373846887601,242.91979069914044,142.91979069914046,0.0,132.53717229393544,10.38261840520499,242.91979069914044,,1616383192317.0,0.4849306465508364,0.0,2.4291979069914045,17.831496608796296,1.0510344914849745,0.0,0.0,0.0
1841441,1763.2,buy,long,entry,2351969.0,0.0,0.33348017808529945,2351969.0,1763.2,0.0,,,243.2154431055575,143.25327087722576,0.0,132.53717229393544,10.71609858329029,243.25327087722573,1532.0827134194394,1616430861941.0,0.4925289140987609,0.00015553194807535963,2.432154431055575,18.383228368055555,1.0495349816656987,0.0,0.0,0.0
1843154,1774.5,sel,long,close,-2351969.0,8.494395068726858,0.3313565793181178,0.0,,0.0,,0.13663592830890114,252.07902252527072,152.07902252527074,0.0,141.0315673626623,11.047455162608408,252.07902252527072,,1616432363911.0,0.49298708898997445,0.0,2.520790225252707,18.40061228009259,1.0515306134581774,0.0,0.0,0.0
1847958,1761.1,buy,long,entry,2437743.0,0.0,0.3460540287320425,2437743.0,1761.1,0.0,,,252.3464725724622,152.4250765540028,0.0,141.0315673626623,11.393509191340451,252.42507655400277,1530.258020790264,1616440100498.0,0.49427201145196503,0.0003114922936677699,2.523464725724622,18.490156111111112,1.0513350634396719,0.0,0.0,0.0
2313114,1772.4,sel,long,close,-2437743.0,8.825119667506424,0.3438477488151659,0.0,,0.0,,0.13666684299561974,261.5940439703244,161.59404397032438,0.0,149.8566870301687,11.737356940155617,261.5940439703244,,1617012686038.0,0.6186869558170157,0.0,2.6159404397032437,25.117303564814815,1.0390276319397798,0.0,0.0,0.0
2441775,1796.4,buy,long,entry,2580466.0,0.0,0.35911628813181923,2580466.0,1796.4,0.0,,,261.83320492212806,161.9531602584562,0.0,149.8566870301687,12.096473228287437,261.9531602584562,1560.9309845737287,1617177773815.0,0.6530998219456946,0.00045813645509097466,2.6183320492212805,27.028041724537037,1.036254272186107,0.0,0.0,0.0
