trade_id,side,type,price,qty,pos_price,pos_size,liq_price,pnl,fee_paid,pnl_plus_fee,fee_paid_cumsum,apparent_balance,actual_balance,profit_cumsum,loss_cumsum,pnl_plus_fees_cumsum,average_daily_gain,timestamp,closest_long_liq,closest_shrt_liq,closest_liq,avg_gain_per_tick,millis_since_prev_trade,progress,reentry_price
1103584,shrt,close,1711.45,53533.0,1712.35,0.0,0.0,0.016440209124550367,0.007819831137339682,0.024260040261890048,2.3824371540661406,22.34877421669883,56.72277719974321,4.340340045677145,0.0,6.722777199743276,1.020317383358546,1612785147091.0,1.0,1.0,1.0,1.000419200261547,12785.0,0.21433988824875597,
1106595,shrt,entry,1723.5,-53913.0,1723.5,-53913.0,0.0,0.0,0.007820278503046127,0.007820278503046127,2.3902574325691868,22.351855406429028,56.73059747824626,4.340340045677145,0.0,6.730597478246322,1.0203286473669144,1612785441685.0,1.0,1.0,1.0,1.0004182685685148,294594.0,0.21492468959012825,1742.4
1106647,shrt,close,1722.6,53913.0,1723.5,0.0,0.0,0.016343319755583695,0.007824364332985024,0.024167684088568717,2.3980817969021717,22.361377473959923,56.75476516233483,4.356683365432729,0.0,6.75476516233489,1.020397796427188,1612785444425.0,1.0,1.0,1.0,1.0004182941108455,2740.0,0.2149347891151204,
1106894,shrt,entry,1724.8,-53984.0,1724.8,-53984.0,0.0,0.0,0.007824675324675325,0.007824675324675325,2.405906472226847,22.364460396037845,56.762589837659505,4.356683365432729,0.0,6.762589837659566,1.0204193480110186,1612785467158.0,1.0,1.0,1.0,1.0004173715281914,22733.0,0.2149827618588331,1743.6
1106911,shrt,close,1723.9,53984.0,1724.8,0.0,0.0,0.016340177022349446,0.007828760368930912,0.024168937391280357,2.4137352325957777,22.37398295737001,56.786758775050785,4.373023542455078,0.0,6.7867587750508465,1.0204885232758083,1612785468347.0,1.0,1.0,1.0,1.0004173991292913,1189.0,0.214986063626619,
1107356,shrt,entry,1726.75,-54075.0,1726.75,-54075.0,0.0,0.0,0.00782901404372376,0.00782901404372376,2.4215642466395013,22.377067588903238,56.79458778909451,4.373023542455078,0.0,6.79458778909457,1.0205095408647347,1612785504976.0,1.0,1.0,1.0,1.0004164854980235,36629.0,0.21507249225395567,1745.4
1108050,shrt,close,1725.85,54075.0,1726.75,0.0,0.0,0.016330764873777576,0.007833096734942202,0.024163861608719778,2.4293973433744434,22.386588150377072,56.81875165070323,4.389354307328856,0.0,6.81875165070329,1.020577100213243,1612785546950.0,1.0,1.0,1.0,1.0004165147328796,41974.0,0.21520728206827394,
1108175,shrt,entry,1730.7,-54229.0,1730.7,-54229.0,0.0,0.0,0.007833391113422315,0.007833391113422315,2.4372307344878656,22.38967450647576,56.82658504181665,4.389354307328856,0.0,6.826585041816712,1.0205991527685756,1612785556416.0,1.0,1.0,1.0,1.0004156099045698,9466.0,0.21523155977258202,1749.6
1108207,shrt,close,1729.8,54229.0,1730.7,0.0,0.0,0.01630258296238223,0.00783746675916291,0.02414004972154514,2.4450682012470284,22.39918568606605,56.850725091538195,4.405656890291238,0.0,6.850725091538258,1.0206680953340665,1612785559489.0,1.0,1.0,1.0,1.0004156396524713,3073.0,0.21523777486488485,
1108369,shrt,entry,1731.55,-54287.0,1731.55,-54287.0,0.0,0.0,0.007837919782853513,0.007837919782853513,2.4529061210298817,22.402273826460494,56.858563011321046,4.405656890291238,0.0,6.858563011321111,1.0206897981750154,1612785578034.0,1.0,1.0,1.0,1.0004147434922288,18545.0,0.2152692387696681,1750.2
